rule,mark,self_buy_floor,flow_mult,max_entry_mult,trail_pct,tp_mult,hard_stop_pct,time_stop_s,loop1_triggers,loop1_wins,loop1_pnl_usd,loop1_pnl_ex_best_usd,loop1_hits_caught,loop1_misses_entered,loop1_worst_usd,loop1_median_usd,loop2_triggers,loop2_wins,loop2_pnl_usd,loop2_pnl_ex_best_usd,loop2_hits_caught,loop2_misses_entered,loop2_worst_usd,loop2_median_usd,min_ex_best,total_pnl,wr
hold,120,0.2,1.5,0,0.4,0,0.3,900,16,7,436.71,250.83,12,4,-31.1,-7.74,9,4,287.26,-122.72,3,6,-52.18,-1.42,-122.72,723.97,0.44
hold,120,0.2,1.5,0,0.4,0,0.3,1800,16,7,1378.97,503.65,12,4,-31.1,-7.74,9,5,324.47,-75.89,3,6,-52.18,2.93,-75.89,1703.44,0.48
hold,120,0.2,1.5,0,0.4,0,0.5,900,16,9,557.59,371.71,12,4,-31.1,18.7,9,4,287.26,-122.72,3,6,-52.18,-1.42,-122.72,844.85,0.52
hold,120,0.2,1.5,0,0.4,0,0.5,1800,16,9,1443.27,567.95,12,4,-31.1,16.71,9,5,324.47,-75.89,3,6,-52.18,2.93,-75.89,1767.74,0.56
hold,120,0.2,1.5,0,0.4,5,0.3,900,16,7,489.07,294.88,12,4,-31.1,-7.74,9,4,213.57,-122.72,3,6,-52.18,-1.42,-122.72,702.64,0.44
hold,120,0.2,1.5,0,0.4,5,0.3,1800,16,7,707.39,506.91,12,4,-31.1,-7.74,9,5,260.4,-75.89,3,6,-52.18,2.93,-75.89,967.79,0.48
hold,120,0.2,1.5,0,0.4,5,0.5,900,16,9,609.95,415.76,12,4,-31.1,18.7,9,4,213.57,-122.72,3,6,-52.18,-1.42,-122.72,823.52,0.52
hold,120,0.2,1.5,0,0.4,5,0.5,1800,16,9,771.69,571.21,12,4,-31.1,16.71,9,5,260.4,-75.89,3,6,-52.18,2.93,-75.89,1032.0900000000001,0.56
hold,120,0.2,1.5,0,0.5,0,0.3,900,16,8,427.11,241.23,12,4,-31.1,-1.74,9,4,280.27,-129.71,3,6,-52.18,-1.42,-129.71,707.38,0.48
hold,120,0.2,1.5,0,0.5,0,0.3,1800,16,7,1346.16,470.84,12,4,-31.1,-5.81,9,5,793.21,13.2,3,6,-52.18,2.93,13.2,2139.37,0.48
