dev,creator,token,symbol,create_ts,hit,ath_mc,n_tx_30m,n_buys_30m,n_sells_30m,n_wallets_30m,first_tx_ts,create_sig,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,member_first_buy_s,member_first_buyer,member_buyers_n,member_buy_sol_30m,member_first_sell_s,member_sell_sol_30m,kol_first_buy_s,kol_buyers_n,kol_buy_sol_30m,outside_first_buy_s,outside_buy_sol_5m,outside_buy_sol_30m,sol_in_1m,sol_in_5m,sol_in_15m,sol_in_30m,peak_ts_s,peak_price_sol,peak_mult_vs_dev,top10_wallets_share_30m,n_wallets_net_long_30m,x_truncated,x_window_last_s,x_pool_phase,x_curve_last_s,x_quote_mint,x_quote_per_sol_med,x_n_trade_tx_30m,x_n_noop_tx_30m,x_n_transfer_tx_30m,x_trader_ne_feepayer_n,x_dev_n_tx,x_dev_n_buys,x_dev_n_sells,x_dev_buy_sol_30m,x_dev_sell_sol_30m,x_member_buyers,x_member_sellers_n,x_book_ath_mc,x_book_holders,x_book_create_ts
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,E8C2ANhFwCdQweyQnWtc1QPUHsMKzw2RCcYoqjE3pump,CARDAMOM,1762326998,False,39337.85692132429,317,192,129,123,1762326998,4qE5hZT5utCDAEZMxTWSm54jPGwwv4KCwz7aFsdeq2WYgZpQi9t835mkLfm7dViJCGbifUVszko1mCLStqu1pjfd,0,0.9885690640000001,34165003.950986,0.034165003950986,0,125000.0,97,1.0,,,0,0.0,,0.0,,,,1,30.587710316,65.414894419,20.076884353999997,31.576279379999995,52.065264975000005,66.403463483,774,7.678327467836035e-08,2.6536344078392324,0.7244058020889159,30,False,1768,False,,,,317,0,0,6,2,1,1,0.9885690640000001,1.74433017,,0,39337.85692132429,12,1762326998
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,BirTjM75mtYKTGbEPnZMKpruBniV8Jwo7oHisMnBpump,NIGGERMAS,1762365639,False,8826.7737,118,63,55,55,1762365639,4aY5X8Vtd21L4mMfmupKAFSE2frNNGuKx5seYo6PdfX94Ygq77QVQm4xh9Mz6u68Ewcn1ptRJwoibxHgyU6dSQD9,0,0.988576024,34165003.950986,0.034165003950986,2,125000.0,48,1.0,,,0,0.0,,0.0,,,,0,27.133191653,35.09691746099999,13.754895281000001,28.121767677000005,36.08549348499999,36.08549348499999,173,5.447616974724554e-08,1.8826863179611442,1.0,7,False,1739,False,,,,118,0,0,0,2,1,1,0.988576024,1.413026564,,0,8826.7737,1,1762365639
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,867xmoFFdTbFeVDNAXzSgPjQFRKJPgNAUNi4kwb6pump,HANUKKAH,1762366155,False,6131.2128,14,7,7,7,1762366155,58obHGMNdCZ9RbQsXzmqGYVSCwKVDQF84AFpvXjT99xD3spDns5Q4HGdoYD5CuLR6FqGwhGZ7p5a6SnTVu3Q12UM,0,0.988576024,34165003.950986,0.034165003950986,4,125000.0,7,1.0,,,0,0.0,,0.0,,,,0,4.051427146,5.048862967,5.04000317,5.04000317,5.04000317,6.037438991,0,3.266688369566939e-08,1.1289614389120008,,0,False,1737,False,,,,14,0,0,0,2,1,1,0.988576024,0.9866341840000001,,0,6131.2128,1,1762366155
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,C6iAKNXgpt21gpSuoWQYPJ9rAXGGu7WXZjyA5ddcpump,clappy,1769587767,False,4278.3698,8,4,4,4,1769587767,324d1hnjurLQpw9Ujm3voXhF6Wu2vrt8b3EDSyM5fWXzoQxXQ4gDniB3FuXdLHPkYtKNuF36LqyBoSJUbYSvBn7Q,0,0.9891159199999999,34199203.120618,0.034199203120618,1,645000.0,,0.0,,,0,0.0,,0.0,,,,0,1.9189526840000002,1.9189526840000002,2.908068604,2.908068604,2.908068604,2.908068604,0,3.0683275182326935e-08,1.0608903760908188,1.0,1,False,5,False,,,,8,0,0,0,1,1,0,0.9891159199999999,0.0,,0,4278.3698,1,1769587767
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,AfcCTXLCQjzpS87pWzwNVFTkUqLKNxGMwDyHdN6gpump,Chazerei,1769675612,False,8209.21019179079,9,5,4,5,1769675612,2a142TrUrEF8uMwCFEQB1zaXEM9fWrkHaGRSYqe19zSY66gwZuNbzZA862MXYbwavxPsfu9S7viHnmGeaHBWv3Dr,0,1.975145249,66219428.509299,0.066219428509299,3,40000.0,,0.0,,,0,0.0,,0.0,,,,0,1.980944818,1.980944818,3.956090028,3.9560900670000003,3.9560900670000003,3.9560900670000003,0,3.1659667029212323e-08,1.061433359663331,1.0,2,False,75,False,,,,9,0,0,0,1,1,0,1.975145249,0.0,,0,8209.21019179079,1,1769675612
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,73qWYYtJCNmbPbQuVMyAMPXH7Kmmx6okupT8J2W4pump,PEACE,1769952650,True,1686653.7,286,170,117,141,1769952650,3sCbr7VdxH7cENymT747sBkcnepwuNE5xzysCn3tVZDjRXiGSjFx5pgVK4XwWMnhmk3KDY9uyS5ES6JmHrzhxNmj,0,3.948088848,124733323.581942,0.124733323581942,0,40000.0,,0.0,,,0,0.0,,0.0,,,,1,16.465261705,61.23087684500001,10.190448838999998,20.413350553,49.628430393,65.17896569300001,1797,1.2373683045341246e-07,3.9092600764969903,0.5953841389837213,71,False,1797,False,,,,286,0,0,2,1,1,0,3.948088848,0.0,,0,1686653.7,554,1769952650
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,H2rsD4PFTEUqy6qFyv3XneYCuWLjTRACzqdaRNA3pump,YGIG,1775957881,False,12497.192,798,449,350,237,1775957881,2z2GD3zEp6b7544nrmTCss2cb79ivyf7Bkx4iCnPLA4Mc4WAgf1sVUkgacidz3u11bv1zgFyioUAfSkUNSwafq8x,0,1.001624833,34618137.775766,0.034618137775766,0,8500.0,,0.0,,,0,0.0,,0.0,,,,1,123.48868893299999,175.22406960300003,67.880821195,124.490313766,157.908451356,176.22569443600003,216,1.491129258141702e-07,5.153638008875643,0.6050646946330582,55,False,1724,False,,,,798,0,0,2,1,1,0,1.001624833,0.0,,0,12497.192,8,1775957881
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,2PzAssUQ84Vph4wppHSmkEfF1wubjyKxFG54fBAmpump,yoohoo,1787741868,False,12455.062,327,170,157,138,1787741868,2JWMQrdLG9TokzTJuXPQfaZkwj3daSszBd5VxKiFkDcTLwZMEWGpnNrLq4GcfDAE6Dz9xTzsPbUywoj2JksQHZh9,0,4.944225992,151773183.854206,0.151773183854206,0,7000.0,8,0.5,269,TMH,1,0.98765432,306,1.057601409,,,,0,86.998400758,89.86135894099999,78.298278942,92.93028107,94.10446944700001,95.793239253,4,1.2057091000228865e-07,3.7011720177952334,0.9943087627528092,13,False,1602,False,,,,327,0,0,2,2,1,1,4.944225992,6.630105606,TMH,1,12455.062,3,1787741868
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,8PGK4bq39nPBNfw2sZLdPBcAnz2whZbNsHszenWKpump,GOOSE,1787795018,False,9663.2469,295,65,71,52,1787795018,5gLirZDhAxeoATjGRD4VYFnC7jBJrFAHYWJsr821BmbGmi5pdMoP6cz1YKKTpFst96n3vsnrSJe7QSy9hggbcGYk,0,2.9691874540000005,96583719.241621,0.096583719241621,2,4000.0,7,1.0,,,0,0.0,,0.0,,,,0,51.122259556,51.122259556,54.0903359,54.091447009999996,54.091447009999996,54.091447009999996,4,8.028933110002757e-08,2.611705166211648,1.0,1,False,303,False,,,,136,159,0,2,3,1,2,2.9691874540000005,4.5314419489999995,,0,9663.2469,1,1787795018
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,9K1NgrVXh7Qrc3KuZyXRN5ctxr1MGc1y1fEnDsCNpump,BIRD,1787795139,False,6585.1206,192,52,39,42,1787795139,5Wuq4gnjFVqM1kszPj621Q3Jy4tPp15X7SH36xKabshq3NiYdKhXNDgjBDtcuJ2Rp2yhsGRr7Z1hg3B21wBRb3Yg,0,2.9691874540000005,96583719.241621,0.096583719241621,3,7000.0,6,0.49999999999999484,,,0,0.0,,0.0,,,,0,17.548926976999997,26.343748525,12.735295570000002,20.518114431,28.333815536,29.312935979,2,4.9079473990611227e-08,1.5964900195336855,1.0,8,False,1497,False,,,,91,101,0,4,2,1,1,2.9691874540000005,2.247590279,,0,6585.1206,2,1787795139
