dev,creator,token,symbol,create_ts,hit,ath_mc,n_tx_30m,n_buys_30m,n_sells_30m,n_wallets_30m,first_tx_ts,create_sig,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,member_first_buy_s,member_first_buyer,member_buyers_n,member_buy_sol_30m,member_first_sell_s,member_sell_sol_30m,kol_first_buy_s,kol_buyers_n,kol_buy_sol_30m,outside_first_buy_s,outside_buy_sol_5m,outside_buy_sol_30m,sol_in_1m,sol_in_5m,sol_in_15m,sol_in_30m,peak_ts_s,peak_price_sol,peak_mult_vs_dev,top10_wallets_share_30m,n_wallets_net_long_30m,x_truncated,x_window_last_s,x_pool_phase,x_curve_last_s,x_quote_mint,x_quote_per_sol_med,x_n_trade_tx_30m,x_n_noop_tx_30m,x_n_transfer_tx_30m,x_trader_ne_feepayer_n,x_dev_n_tx,x_dev_n_buys,x_dev_n_sells,x_dev_buy_sol_30m,x_dev_sell_sol_30m,x_member_buyers,x_member_sellers_n,x_book_ath_mc,x_book_holders,x_book_create_ts
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,8LZKRa3f23CrCTwLFRY9jQWRjFQwGiuP46Mk9jytpump,MARVIN,1782768360,True,288118.593346781,1231,723,507,342,1782768360,MgruacTCKg5vBPhGfJSfteKeY227WFp6UmAv3RMXARWfa6GQMjDuT6aUYcpPhih8dJj2AKiFSrmRutBGmSamwVF,0,17.025886551826193,247075181.586938,0.247075181586938,5,87149.0,,0.0,406,ibuycoin,1,2.8764361520978072,,0.0,,,,0,298.8753541425596,619.3372722358979,279.2998042896707,315.9012406943858,527.355971629276,639.2395949398218,1268,7.531721747378329e-07,10.929836239254106,0.5471260484811795,125,False,1787,False,,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,75.47068855218855,1230,1,0,12,1,1.0,0.0,17.025886551826193,0.0,ibuycoin,0.0,288118.593346781,268,1782768360
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,EreHLTHoNetftsiFo7ZEBZWCgFK7d4VkAPbbNUfHpump,FibFrog,1782854531,False,42733.15486873761,367,184,183,136,1782854531,2Nx5bUx8pVrQgm71poHifvxQqdiUQ2R1kW9gMB4dcWFYfPe9NnDEPW63BdL7rX6AgFh6dcCK3PgAoQcdFYzop7aT,0,17.186876464,390794348.491498,0.39079434849149797,7,80049.0,14,1.0,,,0,0.0,,0.0,,,,0,194.26313936300002,195.048779847,184.50934198,212.43292841800002,213.12263472000004,213.21856890200002,3,3.7632119172702913e-07,8.55677267783662,1.0,9,False,1582,True,0,,,367,0,0,0,5,2.0,3.0,18.169789055000003,35.447766905,,0.0,42733.15486873761,70,1782854531
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,BRwP5xBFTzCGWoNr5nuffFDgx1ou945pQ7Qqkq8kpump,78,1782963039,False,35648.333,225,120,104,90,1782963039,38bj6f1MgxtQh6bLerfWPUsNkEVJhHNKVu12Tn8xX7jtGNCrnNzZNLfe2aUvFXV3Bx6FKzWCQB2JvW9Tif437ha6,0,35.557246834,581966101.683263,0.5819661016832629,2,165242.0,38,1.0,,,0,0.0,,0.0,,,,0,112.94931983100001,113.11839037200001,138.717764265,148.506566665,148.508542368,148.67563720599998,4,3.7496206361742146e-07,6.13701087323454,0.9999990406618496,11,False,1506,True,3,,,224,1,0,0,3,1.0,2.0,35.557246834,36.691669326,,0.0,35648.333,15,1782963039
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,33uygG3GWW6v5sgjfhUeVMBTD5H6hj1XwuK6JZM7pump,💀,1782963719,False,58907.162703909824,234,123,111,99,1782963719,WfriHjHy3TDrcDJWupFmrS9RfN2bcqN7iRTB3k94EvS3W1mSj66GvG89MxzkzUurgCWC1Kebe3zc3EyiFR7m98M,0,16.791814735,385034300.765236,0.38503430076523604,0,62184.0,11,1.0,,,0,0.0,,0.0,,,,0,78.575474267,78.575474267,95.203506287,95.367289002,95.367289002,95.367289002,4,1.739871434893513e-07,3.989504362261127,1.0,2,False,961,True,961,,,234,0,0,0,2,1.0,1.0,16.791814735,25.838363668999996,,0.0,58907.162703909824,60,1782963719
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,7HMLeQPDkNCDbVvmQ3gfY1FggUsayafioiuB9WQxpump,BEGFI,1782997289,False,20218.04767350402,248,137,111,87,1782997289,2HdVMif5FrtcL8aqRwmz3V1Gi5figpwew8TzmPbd5FMgSANTGJJGnDqXeqoFxMS5FZoZr6kmFHp8pxX3t9cS4ZU7,0,18.767123377,412901265.798887,0.41290126579888703,4,804637.0,10,1.0,,,0,0.0,,0.0,,,,0,71.38069482099999,71.38069482099999,83.085509268,90.147818198,90.147818198,90.147818198,2,9.519467927689993e-08,2.0944074795672964,1.0,2,False,1482,False,,,,248,0,0,0,3,1.0,2.0,18.767123377,23.542661681,,0.0,20218.04767350402,27,1782997289
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,FEJdyNUQeroXwQNqTZGQbjfjdXcVgeeXDCKpAtVdpump,catcall,1785617165,True,215137.83,,,,,1785617165,3X2ZAtg5TUTF8KAENUiZhXnT74mVCg2SSTYCGe7bE4fySQiVr1oSt7oQvmjJsj8dr2mR28wViji51MtPLQDqWCG,0,1.931992888,64866710.33715,0.06486671033715,3,5255.0,,,105,trenchdigger,,,152,,,,,0,2172.966595727,,353.520856224,2177.868944343,,,261,1.797877260288085e-06,60.36377472671942,,,True,427,True,31,,,9042,20958,0,399,1,1.0,0.0,1.931992888,0.0,"LowiqdegN,ibuycoin,trenchdigger",2.0,215137.83,673,1785617165
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,BSCBC5GE7kP6EiDVbHTN5f2ec1bPVV8Tov2zynQApump,dontbuy,1785684542,False,12851.158,367,190,177,152,1785684542,2Lj33pAuZuQeUs8QshK8ZKZTssMjEdXJbGWqBNnZoazJd1AtzjE1ZwK9qXghMQCdzzKaohYQWwAp9eRdqCpaDCeH,0,0.742432019,25855421.62745,0.02585542162745,4,805442.5,217,1.0,,,0,0.0,,0.0,,,,0,104.149416753,106.461206489,89.35961815900001,104.891848772,107.203638508,107.203638508,3,9.157542321110534e-08,3.189142059126763,1.0,9,False,1556,False,,,,367,0,0,7,2,1.0,1.0,0.742432019,1.210648327,,0.0,12851.158,8,1785684542
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,8rWNVQoFyhWgKfBQGo1o7va5imP9rYT9jNroDqN4pump,OFFICIAL,1785698285,True,3816034.2,9680,2978,1978,1447,1785698285,5kVr6JuJUBqDb4ZaWkiFWYKSmmKTn5KGj9TcBDiSxmbhwcXN1bJwXQ9b29HDoQRHuYnPpE2DNdoazpStTgmm3uLP,0,14.075765353000001,342638655.444386,0.342638655444386,0,157056.5,,0.0,138,trenchdigger,2,1.58418972,200,2.7051346240000003,,,,0,615.264749584,1660.9581251373215,228.562610696,630.4296453689999,1126.067534929,1689.8882928963214,1605,2.2609936616132843e-06,55.038131764418786,0.5586195905559587,689,False,1800,True,4,,,4888,4792,0,575,46,46.0,0.0,27.345978039000002,0.0,"ibuycoin,trenchdigger",2.0,3816034.2,1869,1785698285
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,5NdJrszDQGVF5iWeUhVLTQqLFvYBbeZ3s42ridA5pump,Chairman,1785820795,True,407395.15,15850,3347,2414,1361,1785820795,3QfvbNM8NDT9Yi99sCpCihFrhmabJVmm3rV5VT6aY4eVLH56xuHT8gCX2fUsT5yRcCgK3uLFdHxDxVQCziu54s1,0,39.507864118,609875666.064564,0.609875666064564,6,513520.5,,0.0,307,trenchdigger,4,10.045456617,1363,7.737667539000001,,,,0,734.7751990250001,2244.355083264005,262.440017999,774.2830631429999,1190.120818295,2323.6012218250053,1365,5.07049485476222e-06,78.27230086620025,0.7920057793016736,488,False,1795,True,0,,,5755,10095,0,533,2,2.0,0.0,69.200681944,0.0,"hashbergers,hoeleeshiet,ibuycoin,trenchdigger",2.0,407395.15,160,1785820795
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,A13oRB9FFaiUjfi6LdCg6p9ka1u8SfGkUFs4SKvPpump,TOAD,1786197553,True,23598026.740533598,14672,4478,2976,1908,1786197553,2euGYRDe9hTKArVFESQLkrvMV3gq3wtFHsZUPFmxGobUx4RRsCQoByVTqSCY3zgY79V22v1Wzae4ru5ye7xmmR3x,0,6.915271525,200963210.657135,0.20096321065713502,21,112553.0,,0.0,1207,badattrading,1,1.9802371529999998,,0.0,,,,0,652.553199705,2319.1895558754622,394.915597976,659.46847123,1025.3589526556038,2328.0850645534624,1743,2.4651615444538622e-06,71.63952665791382,0.363075620508334,934,False,1800,True,25,,,7418,7254,0,566,1,1.0,0.0,6.915271525,0.0,badattrading,0.0,23598026.740533598,19480,1786197553
