mark,self_buy_floor,trail_pct,tp_mult,hard_stop_pct,time_stop_s,triggers,wins,pnl_usd,avg_usd,median_usd,worst_usd,hits_caught,hits_total,misses_entered,pnl_ex_best_usd
dev,0.2,0.3,0,0.4,900,16,10,417.74,26.11,5.28,-32.4,12,18,4,292.74
dev,0.2,0.3,0,0.4,1800,16,10,371.99,23.25,11.96,-32.4,12,18,4,246.99
dev,0.2,0.3,0,0.5,900,16,10,413.45,25.84,5.28,-32.4,12,18,4,288.45
dev,0.2,0.3,0,0.5,1800,16,10,367.7,22.98,11.96,-32.4,12,18,4,242.7
dev,0.2,0.3,3,0.4,900,16,10,381.86,23.87,5.28,-32.4,12,18,4,270.26
dev,0.2,0.3,3,0.4,1800,16,10,396.65,24.79,11.96,-32.4,12,18,4,285.05
dev,0.2,0.3,3,0.5,900,16,10,377.57,23.6,5.28,-32.4,12,18,4,265.97
dev,0.2,0.3,3,0.5,1800,16,10,392.36,24.52,11.96,-32.4,12,18,4,280.76
dev,0.2,0.3,5,0.4,900,16,10,565.07,35.32,5.28,-32.4,12,18,4,363.2
dev,0.2,0.3,5,0.4,1800,16,10,519.32,32.46,11.96,-32.4,12,18,4,317.45
dev,0.2,0.3,5,0.5,900,16,10,560.78,35.05,5.28,-32.4,12,18,4,358.91
dev,0.2,0.3,5,0.5,1800,16,10,515.03,32.19,11.96,-32.4,12,18,4,313.16
dev,0.2,0.4,0,0.4,900,16,10,708.53,44.28,6.42,-32.4,12,18,4,522.65
dev,0.2,0.4,0,0.4,1800,16,10,1563.88,97.74,21.47,-32.4,12,18,4,688.56
dev,0.2,0.4,0,0.5,900,16,10,704.24,44.02,6.42,-32.4,12,18,4,518.36
dev,0.2,0.4,0,0.5,1800,16,10,1559.59,97.47,21.47,-32.4,12,18,4,684.27
dev,0.2,0.4,3,0.4,900,16,10,537.6,33.6,6.42,-32.4,12,18,4,426.0
dev,0.2,0.4,3,0.4,1800,16,10,640.39,40.02,21.47,-32.4,12,18,4,528.79
dev,0.2,0.4,3,0.5,900,16,10,533.31,33.33,6.42,-32.4,12,18,4,421.71
dev,0.2,0.4,3,0.5,1800,16,10,636.1,39.76,21.47,-32.4,12,18,4,524.5
dev,0.2,0.4,5,0.4,900,16,10,807.08,50.44,6.42,-32.4,12,18,4,605.21
