dev,group,metric,n,median,p25,p75,min,max,note
slingoor,all,dev_supply_share,28,0.44253112599218003,0.24845143868181874,0.609875666064564,0.02585542162745,0.7268521802021559,
slingoor,all,dev_first_buy_sol,28,22.3683199539159,15.7424320195,40.443618437855804,0.742432019,62.996643607,
slingoor,all,dev_same_slot_buyers,28,3.5,0.0,7.0,0.0,22.0,
slingoor,all,dev_fee_lamports_med,28,35000.0,10797.5,150551.375,3010.0,918459.0,
slingoor,all,dev_fee_first_tx,28,35000.0,27161.0,92290.5,5255.0,610885.0,
slingoor,all,dev_first_sell_s,13,15.0,12.0,155.0,5.0,658.0,
slingoor,all,dev_sold_share_30m,22,0.9999999999999999,0.0,1.0,0.0,1.0,
slingoor,all,dev_sell_sol_30m,22,11.279554847981181,0.0,36.38069372075,0.0,149.83018829,
slingoor,all,dev_sold_share_60s,25,0.0,0.0,1.0,0.0,1.0,
slingoor,all,dev_sold_share_300s,25,0.0,0.0,1.0,0.0,1.0,
slingoor,all,grad_s,20,4.0,2.0,22.75,0.0,996.0,
slingoor,all,peak10_mult,28,6.841109945706982,2.753482767813664,50.39907015615811,1.6014535014411144,146.05722167188597,
slingoor,all,peak10_ts_s,28,125.0,0.0,867.5,0.0,1740.0,
slingoor,all,sol_in_1m,25,274.91285182400003,175.35140089459938,394.915597976,83.085509268,3224.030492516,
slingoor,all,sol_in_5m,25,512.2063822205353,212.43292841800002,659.46847123,90.147818198,5438.314493652,
slingoor,all,n_wallets_1m,25,242.0,123.0,401.0,9.0,1474.0,
slingoor,all,n_wallets_5m,25,499.0,151.0,691.0,9.0,2373.0,
slingoor,all,n_launches,28,,,,,,measurable launches (with trades)
slingoor,all,n_dev_sold_in_window,13,,,,,,launches with a dev sell in the window
slingoor,all,n_dev_sold_by_60s,9,,,,,,
slingoor,all,n_dev_sold_by_300s,12,,,,,,
slingoor,all,n_non_sol_quote,8,,,,,,launches quoted in a token other than SOL
slingoor,all,n_graduated_in_window,20,,,,,,curve completed inside the 30-min window
slingoor,all,n_graduated_by_60s,18,,,,,,
slingoor,all,n_dev_buy_in_create_slot,28,,,,,,dev_first_buy_s == 0
slingoor,all,launchpad:pump_agent,1,,,,,,dev_tokens.launchpad_platform
slingoor,all,launchpad:Pump.fun,21,,,,,,dev_tokens.launchpad_platform
slingoor,all,launchpad:stonkfun,6,,,,,,dev_tokens.launchpad_platform
slingoor,hits,dev_supply_share,14,0.5759195030862976,0.37501923812965776,0.660456591579435,0.06486671033715,0.7268521802021559,
slingoor,hits,dev_first_buy_sol,14,35.0634196735,18.663608469619646,49.05842128153586,1.931992888,62.996643607,
slingoor,hits,dev_same_slot_buyers,14,5.0,2.0,7.75,0.0,21.0,
slingoor,hits,dev_fee_lamports_med,14,76434.5,22200.5,154888.125,5255.0,918459.0,
slingoor,hits,dev_fee_first_tx,14,72120.0,27185.0,110090.25,5255.0,305445.0,
slingoor,hits,dev_first_sell_s,2,14.0,13.5,14.5,13.0,15.0,
slingoor,hits,dev_sold_share_30m,10,0.0,0.0,0.0,0.0,1.0,
slingoor,hits,dev_sell_sol_30m,10,0.0,0.0,0.0,0.0,149.83018829,
slingoor,hits,dev_sold_share_60s,13,0.0,0.0,0.0,0.0,1.0,
