username,wallet,dev,token,symbol,hit,coverage_s,sol_ok,n_buys,n_sells,bought,sold,first_buy_s,last_buy_s,first_buy_sol,buy_sol,buy_tokens,first_sell_s,sell_sol,sell_tokens,buy_supply_share,hold_s,sold_share,closed,entry_mult_vs_dev,remaining_tokens,net_sol_realized,remaining_marked_sol,net_sol_marked
LowiqdegN,9cgFTNYYxuJUZcK6Je5Dx94bbjhcFmkwzuPUrx5y7sQa,slingoor,FEJdyNUQeroXwQNqTZGQbjfjdXcVgeeXDCKpAtVdpump,catcall,True,427,True,1,0,True,False,131,131,0.495059288,0.495059288,523482.493734,,,0.0,0.000523482493734,,0.0,False,31.75202300145365,523482.493734,-0.495059288,0.6441094372882878,0.14905014928828786
TMH,A38dM3RtNpewkwkWJeyj8C9c8yWtgaaAdh4Rdj1SXg3M,retardmode,6UCVtwUzZpCNamgi8SUSvYWejy7U6oS764hy5bQTpump,WOJAK,False,1800,True,1,0,True,False,1698,1698,2.4161989943900783,2.4161989943900783,6304629.266878,,,0.0,0.0063046292668780006,,0.0,False,6.245164136496982,6304629.266878,-2.4161989943900783,2.386027779400105,-0.03017121498997355
TMH,A38dM3RtNpewkwkWJeyj8C9c8yWtgaaAdh4Rdj1SXg3M,retardmode,2PzAssUQ84Vph4wppHSmkEfF1wubjyKxFG54fBAmpump,yoohoo,False,1800,True,1,1,True,True,269,269,0.98765432,0.98765432,15998022.958536,306.0,1.057601409,15998022.958536,0.015998022958536,37.0,1.0,True,1.895114189301796,0.0,0.06994708900000013,0.0,0.06994708900000013
badattrading,GZ1yiJKTq8Mc6RiY2WQrzph8wJcizSLGgyhr4RSgnuUo,slingoor,A13oRB9FFaiUjfi6LdCg6p9ka1u8SfGkUFs4SKvPpump,TOAD,True,1800,True,1,0,True,False,1207,1207,1.9802371529999998,1.9802371529999998,2392039.440102,,,0.0,0.002392039440102,,0.0,False,24.057815601703368,2392039.440102,-1.9802371529999998,4.929253136782863,2.9490159837828633
baseddom,7RMJ1wnuhry4Ue8ZL9LrDykTtREdUzrhoH4pUG6W11Md,retardmode,5o9kmr8gEVXzcj5wPRD4LmENBxk33Q8RWsVWgsJTpump,GIGAY,False,1800,True,1,0,True,False,417,417,0.04897428320811103,0.04897428320811103,377836.303021,,,0.0,0.000377836303021,,0.0,False,2.6708890708200688,377836.303021,-0.04897428320811103,0.03016207286281287,-0.018812210345298157
bsol_x,9EkcRCqFHP3QxyMmtMUNKLZSa6YrU7Uhc8yQNdKf34Eg,slingoor,2hXHY3DnN7HUGySZEmBsLFKSqLB8nj3aE8wwq44wpump,LIZARD,True,881,True,1,0,True,False,60,60,2.627520893,2.627520893,725477.301119,,,0.0,0.0007254773011189999,,0.0,False,43.53678931285765,725477.301119,-2.627520893,5.230959159980906,2.6034382669809064
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,slingoor,5NdJrszDQGVF5iWeUhVLTQqLFvYBbeZ3s42ridA5pump,Chairman,True,1800,True,1,1,True,True,1466,1466,0.014873823,0.014873823,3479.995734,1651.0,0.010955669,3479.995734,3.479995734e-06,185.0,1.0,True,65.97838054797027,0.0,-0.003918154,0.0,-0.003918154
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,slingoor,EKSZLgVMFzwBbBgteCJFdaZig8G5g4TkNNkWMA7pump,DIDDY,True,1800,True,5,3,True,True,70,128,4.901086955,23.515316198,22047178.259914998,235.0,29.622348065999997,22047178.259915,0.022047178259914996,165.0,1.0,True,13.933060509244394,0.0,6.107031867999996,0.0,6.107031867999996
hoeleeshiet,944q8jiyLsHoYaVieiz96zGcATUHuMj3G47H1RAQunH6,slingoor,5NdJrszDQGVF5iWeUhVLTQqLFvYBbeZ3s42ridA5pump,Chairman,True,1800,True,2,0,True,False,1461,1564,0.013420694,0.023968835,6337.213501,,,0.0,6.337213501e-06,,0.0,False,66.07799949748936,6337.213501,-0.023968835,0.019095158496740452,-0.004873676503259549
ibuycoin,2TFd3TWqueQeN4Djgoqwqh1ThsuTgKzeh7Jy5ocH2D3T,retardmode,5TvxfHoP7F5rGZ5HjwhQMu4NNJ5M9qEQo6WE56Xupump,PQ,True,1800,True,2,4,True,True,577,920,1.3893690765520805,2.1217899137868788,3357546.050525,1266.0,4.753206532140922,1690464.581399,0.003357546050525,689.0,0.5034821729800764,False,6.327981950274455,1667081.4691259998,2.6314166183540433,7.27570615287795,9.907122771231993
ibuycoin,2TFd3TWqueQeN4Djgoqwqh1ThsuTgKzeh7Jy5ocH2D3T,retardmode,CSRRgTwf9o5KLgguS2M16aEAhV5PUUzfshrAAQ8opump,RETARDIO,True,1800,True,1,0,True,False,38,38,0.98765432,0.98765432,6054369.244526,,,0.0,0.006054369244526,,0.0,False,3.208610598010419,6054369.244526,-0.98765432,5.55321750864446,4.56556318864446
ibuycoin,2TFd3TWqueQeN4Djgoqwqh1ThsuTgKzeh7Jy5ocH2D3T,retardmode,6UCVtwUzZpCNamgi8SUSvYWejy7U6oS764hy5bQTpump,WOJAK,False,1800,True,2,0,True,False,1689,1776,2.4237797198205238,3.8739942416039113,11142754.163453,,,0.0,0.011142754163452999,,0.0,False,5.4271376338010295,11142754.163453,-3.8739942416039113,4.217047481713489,0.3430532401095774
ibuycoin,2TFd3TWqueQeN4Djgoqwqh1ThsuTgKzeh7Jy5ocH2D3T,slingoor,5NdJrszDQGVF5iWeUhVLTQqLFvYBbeZ3s42ridA5pump,Chairman,True,1800,True,6,0,True,False,1380,1680,0.991588322,4.064923638,1134199.412339,,,0.0,0.001134199412339,,0.0,False,69.2852650150037,1134199.412339,-4.064923638,3.417545825480795,-0.6473778125192049
