username,wallet,role,tags,n_launches_bought,n_slingoor,n_retardmode,n_hits,n_nonhits,n_hits_slingoor,n_hits_retardmode,hit_share_of_bought,med_entry_s,min_entry_s,p75_entry_s,med_entry_mult_vs_dev,med_first_buy_sol,med_buy_sol_per_launch,total_buy_sol,n_sol_computable,med_buy_supply_share,n_sold_in_window,share_sold_in_window,n_closed_in_window,med_hold_s,med_sold_share,net_sol_realized,net_sol_marked,net_sol_closed,n_truncated_after_buy,n_sell_only,launches_bought
trenchdigger,BHTp82S8GYKWEwcQBuW5zme3GpcT1bkCcA7N4vyTuJL9,,launchpad_smart,12,10,2,10,2,9,1,0.8333333333333334,235.0,24.0,383.25,12.709933339379642,1.486893297,2.917727536187381,42.417910891375165,12,0.0027897467781425,9,0.75,4,65.0,0.6572899051302815,-9.426536925375157,17.59927987678086,-1.4739431350000003,3,0,"INSANE@24s,catcall*@105s,OFFICIAL*@138s,WOJAK@139s,WINNIE*@141s,sling*@229s,LIZARD*@241s,PQ*@265s,Chairman*@307s,HOODWARTS*@612s,DIDDY*@626s,nothing*@1431s"
ibuycoin,2TFd3TWqueQeN4Djgoqwqh1ThsuTgKzeh7Jy5ocH2D3T,Owner,"gmgn,arbitrager,padre,gmgn_go",11,8,3,10,1,8,2,0.9090909090909091,115.0,38.0,491.5,6.327981950274455,0.98765432,2.8764361520978072,29.477487443488602,11,0.003357546050525,7,0.6363636363636364,3,121.0,0.32170846031742956,-13.128942396347673,23.80408206553546,3.2749620579999994,2,0,"HOODWARTS*@38s,RETARDIO*@38s,WINNIE*@62s,LIZARD*@70s,DIDDY*@90s,catcall*@115s,OFFICIAL*@185s,MARVIN*@406s,PQ*@577s,Chairman*@1380s,WOJAK@1689s"
stellanyang,A1ofb9tyBYWJ6ZxFedyWk9VqC88xhmvsbe2T4Gzv6tHw,,bluechip_owner,3,0,3,3,0,0,3,1.0,1095.0,724.0,1150.5,14.859311805681543,2.8812478142391766,2.89670997,24.590414152239177,3,0.018265204703482,0,0.0,0,,0.0,-24.590414152239177,4.819216087295988,,0,0,"RETARDIO*@724s,MRHATE*@1095s,PQ*@1206s"
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,,"sandwich_bot,axiom,padre",2,2,0,2,0,2,0,1.0,768.0,70.0,1117.0,39.95572052860734,2.4579803890000003,11.7650950105,23.530190021,2,0.011025329127824498,2,1.0,2,175.0,1.0,6.1031137139999965,6.1031137139999965,6.1031137139999965,0,0,"DIDDY*@70s,Chairman*@1466s"
ibuyrunners,Aptv3xnD36tMnQj3CrET5VNjHAHryTQFWMy71jFxML8M,,axiom,2,0,2,1,1,0,1,0.5,953.0,799.0,1030.0,14.364313956915403,0.4554795080307027,1.5587166044029759,3.1174332088059518,2,0.0030070493555355,0,0.0,0,,0.0,-3.1174332088059518,-0.5853799478114646,,0,0,"WOJAK@799s,RETARDIO*@1107s"
TMH,A38dM3RtNpewkwkWJeyj8C9c8yWtgaaAdh4Rdj1SXg3M,,"arbitrager,padre",2,0,2,0,2,0,0,0.0,983.5,269.0,1340.75,4.070139162899389,1.701926657195039,1.701926657195039,3.403853314390078,2,0.011151326112707001,1,0.5,1,37.0,0.5,-2.346251905390078,0.03977587401002658,0.06994708900000013,0,0,"yoohoo@269s,WOJAK@1698s"
bsol_x,9EkcRCqFHP3QxyMmtMUNKLZSa6YrU7Uhc8yQNdKf34Eg,Admin,,1,1,0,1,0,1,0,1.0,60.0,60.0,60.0,43.53678931285765,2.627520893,2.627520893,2.627520893,1,0.0007254773011189999,0,0.0,0,,0.0,-2.627520893,2.6034382669809064,,1,0,LIZARD*@60s
waynecapital,4xHGhy4r41XNEgeHpKSC725aZjy6tR5E92xNjs4odBPR,,"axiom,smart_degen,padre,arbitrager",1,1,0,1,0,1,0,1.0,100.0,100.0,100.0,2.9702194091831227,0.987851851,0.987851851,0.987851851,1,0.005984337895206,1,1.0,1,22.0,1.0,0.724248992,0.724248992,0.724248992,0,0,WINNIE*@100s
LowiqdegN,9cgFTNYYxuJUZcK6Je5Dx94bbjhcFmkwzuPUrx5y7sQa,,,1,1,0,1,0,1,0,1.0,131.0,131.0,131.0,31.75202300145365,0.495059288,0.495059288,0.495059288,1,0.000523482493734,0,0.0,0,,0.0,-0.495059288,0.14905014928828786,,1,0,catcall*@131s
baseddom,7RMJ1wnuhry4Ue8ZL9LrDykTtREdUzrhoH4pUG6W11Md,,arbitrager,1,0,1,0,1,0,0,0.0,417.0,417.0,417.0,2.6708890708200688,0.04897428320811103,0.04897428320811103,0.04897428320811103,1,0.000377836303021,0,0.0,0,,0.0,-0.04897428320811103,-0.018812210345298157,,0,0,GIGAY@417s
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,Admin,bluechip_owner,1,0,1,1,0,0,1,1.0,602.0,602.0,602.0,7.209025931952634,9.769333256959207,9.769333256959207,9.769333256959207,1,0.015739911073015,0,0.0,0,,0.0,-9.769333256959207,58.92495071209351,,0,0,PQ*@602s
badattrading,GZ1yiJKTq8Mc6RiY2WQrzph8wJcizSLGgyhr4RSgnuUo,,"smart_degen,gmgn_go,top_followed,gmgn",1,1,0,1,0,1,0,1.0,1207.0,1207.0,1207.0,24.057815601703368,1.9802371529999998,1.9802371529999998,1.9802371529999998,1,0.002392039440102,0,0.0,0,,0.0,-1.9802371529999998,2.9490159837828633,,0,0,TOAD*@1207s
hoeleeshiet,944q8jiyLsHoYaVieiz96zGcATUHuMj3G47H1RAQunH6,,,1,1,0,1,0,1,0,1.0,1461.0,1461.0,1461.0,66.07799949748936,0.013420694,0.023968835,0.023968835,1,6.337213501e-06,0,0.0,0,,0.0,-0.023968835,-0.004873676503259549,,0,0,Chairman*@1461s
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,Admin,"arbitrager,axiom,top_dev,top_renamed,top_followed",1,0,1,0,1,0,0,0.0,1461.0,1461.0,1461.0,4.538353532215039,6.306316632707238,6.306316632707238,6.306316632707238,1,0.022621610566339,0,0.0,0,,0.0,-6.306316632707238,2.2549784000749433,,0,0,WOJAK@1461s
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,,,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,,"arbitrager,padre",0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
Fabricci,CKrA2mXG2Mv4ikuyE2P3UBbd3gfhcXpuUTaadFVEcf1p,,,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
MidCurveMortal,5CPYGy2F3hdBE5b2JXnXwbHmxL3rnGX1Lxp6K72zpKc7,Admin,"gmgn,gmgn_go",0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
SleepyyMike,BpcENgzqyaFwzr3LKmgx7Wp7zk8XsyY31uomBa2Vs6b,,"gmgn_go,gmgn",0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
agentpuffle,BEQGnzXPeaLsbk8Vc7Eo3a9rHUr1si53aQU6F8MXvcDZ,Admin,axiom,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
alpha_co,3bAQgA7SZvKGdbcnooa98ynCVN7x6UuDhNiR2SWAYjdy,,arbitrager,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
b69,3iNpHZrcE45FPR8pKhz7g4KXEZNHoiic7eG9bRwrBJ8b,,trojan,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,,"launchpad_smart,axiom,arbitrager",0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,,"axiom,kol,wash_trader,gmgn_go,gmgn,arbitrager,padre,top_followed",0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
kanpai,36YdEpphGT1P7WCNFa5XxPfLP5b8gJFr7Jtck5UYpB6N,,arbitrager,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
lvvpumpy,CP8EA1BnR2bnHa7BJps9c53zZwxaubrBtQCbREaZVibe,,padre,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
moonpie666,9FjPQhimTnWEqhYV4AThbL1h9cXgX9Dh9UXoW1t5jaJB,,,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
pumpguy__,EY8LYSvgjW6MGF7d9HoZY8rxNv7XdweDNuwQBwsmTTdG,,arbitrager,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,,top_dev,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
rohwhale,8YaLrz1edFZatWd48XERNFGbVHpcegNUExmYUuoT4X4M,Admin,trojan,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
trenchdiga,DJkYNGQrbvr4s5ho3NTva5WwYXjafac1rAZTTXyXuJMt,,,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
usurp,LarpzZ7XRDYZp2dMUMLGpRCiAvwphHshBKDn2XagiY2,,,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
