dev,creator,token,symbol,create_ts,hit,ath_mc,n_tx_30m,n_buys_30m,n_sells_30m,n_wallets_30m,first_tx_ts,create_sig,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,member_first_buy_s,member_first_buyer,member_buyers_n,member_buy_sol_30m,member_first_sell_s,member_sell_sol_30m,kol_first_buy_s,kol_buyers_n,kol_buy_sol_30m,outside_first_buy_s,outside_buy_sol_5m,outside_buy_sol_30m,sol_in_1m,sol_in_5m,sol_in_15m,sol_in_30m,peak_ts_s,peak_price_sol,peak_mult_vs_dev,top10_wallets_share_30m,n_wallets_net_long_30m,x_truncated,x_window_last_s,x_pool_phase,x_curve_last_s,x_quote_mint,x_quote_per_sol_med,x_n_trade_tx_30m,x_n_noop_tx_30m,x_n_transfer_tx_30m,x_trader_ne_feepayer_n,x_dev_n_tx,x_dev_n_buys,x_dev_n_sells,x_dev_buy_sol_30m,x_dev_sell_sol_30m,x_member_buyers,x_member_sellers_n,x_book_ath_mc,x_book_holders,x_book_create_ts
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,9gnhdGXniTMt6QHs5bCXvqkGMcz4XNEX2RZvbUaLpump,OG,1788315860,False,4507.9479,110,53,57,54,1788315860,remhp9Ppyh86drk3aQM5EXwXLkJyiuFk1UWnYjW7r5RxCEBSovo18Zy4XfVNhfkH4r8BXU6ayPYUt6YZzCo83jd,0,0.991515998,34271956.398008,0.034271956398007994,0,452500.0,211,1.0,,,0,0.0,,0.0,,,,0,10.616515621,10.616515621,9.598451568,11.608031618999998,11.608031618999998,11.608031618999998,2,4.465667571298484e-08,1.5435672707273846,1.0,1,False,516,False,516,,,110,0,0,0,2,1,1,0.991515998,1.169292556,,0,4507.9479,1,1788315860
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,2WZa2thMBXQkMC7ZMFbJqb9JndDZxc7cKfu59tC1pump,tradoor,1788321053,False,4145.966,79,40,39,38,1788321053,43xPtpdkaeFf3BomggT9TjkxR3FCAiNC1oqHC1xv1yHQKDcgiSBJ8WikcsJAtpy9iTfzq4bUhDHXiLvkGPd4iSQq,0,0.991515998,34271956.398008,0.034271956398007994,0,452500.0,224,1.0,,,0,0.0,,0.0,,,,0,13.518494889000001,13.518494889000001,13.165054502000002,14.510010887,14.510010887,14.510010887,4,4.101207812098057e-08,1.4175909980162962,1.0,1,False,997,False,997,,,79,0,0,2,2,1,1,0.991515998,1.003179161,,0,4145.966,1,1788321053
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,EjrGfQHLaFhewKtMu2fNN8YU39RqGCrSqnve92Vspump,1LEFT,1788322612,False,11622.297,937,523,414,340,1788322612,2MrJgmKxUKERrJ5hmHRRwkRLYBWhSD4x9USgpEJ6rY2iCWKR2d2LmGBtmoRGYgb1qvT2LWCPjHEnFXbqdH46PZXa,0,1.090462183,37577914.616381,0.037577914616381,3,452500.0,753,0.22338862440321985,,,0,0.0,,0.0,,,,0,11.366678380000002,150.62644985900002,7.295653246999999,12.457140563,144.21387777500001,151.716912042,777,1.1014105982478045e-07,3.7955202907328247,0.8142994432652211,44,False,1672,False,1672,,,937,0,0,138,2,1,1,1.090462183,0.789926856,,0,11622.297,8,1788322612
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,3PmNVsEmAhgEGteXc1XMjir4kTaLwAcNNAqbBRBApump,missooor,1788326195,False,5535.6667,228,128,99,90,1788326195,4Rs8wV2ND1oEspUAeMZriCH39z1VZwehV1hPXeZZvp2HsL3GKv4pAcgrGeS46eMocSQ2yrXp2VzvSjTV779WEJwD,0,0.991515998,34271956.398008,0.034271956398007994,3,452500.0,1611,1.0,,,0,0.0,,0.0,,,,0,7.076073256,48.460747340999994,5.2072177779999995,8.067589254,42.732420424999994,49.452263339000005,490,5.520760676748434e-08,1.9082623939403087,1.0,7,False,1640,False,1640,,,227,1,0,30,2,1,1,0.991515998,1.016515403,,0,5535.6667,1,1788326195
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,CpKtv1agjx3SyFtYGWm18rtj6WgDQCTUBEZZrpuzpump,madeitup,1788328565,False,7255.8779,378,213,165,147,1788328565,3PYsua8FFPVwdYNWVcBa1RcdiR13arMn9WXpSVqRkLpX5HsCPsztVN3wLLrCEL7CsFuJZd7fL8vLsbXFJ5JMTRha,0,0.991515998,34271956.398008,0.034271956398007994,0,505000.0,,0.0,,,0,0.0,,0.0,,,,0,10.141459755000001,77.94612821799998,10.304686738000001,11.132975753000002,65.276694924,78.937644216,627,7.055336604835801e-08,2.438691750631767,0.9428770609385625,28,False,1799,False,1799,,,378,0,0,54,1,1,0,0.991515998,0.0,,0,7255.8779,4,1788328565
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,4SZumNgTUZRNVWHmWomCAoTtz7gQmXbP7aN8odo3pump,topbuyer,1788353339,False,7014.3448,507,294,216,210,1788353339,52S5rrtDRTiZMp5pBAnzWtgxQPeHF458KGdSpDQpN3PCQWpWypfP4HDB2KRFz5YEDg4HV5zqdosSVxvDnrdDtfD4,0,0.991515998,34271956.398008,0.034271956398007994,1,505000.0,,0.0,,,0,0.0,,0.0,,,,0,11.171839806,61.90729453043563,9.447745329,12.163355804,55.33031025943562,62.898810528435625,532,7.180901797544691e-08,2.4820936202769053,0.9229816361323225,32,False,1526,False,1526,,,507,0,0,70,1,1,0,0.991515998,0.0,,0,7014.3448,5,1788353339
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,GqLLG7TtKi1o34yRwdPZB6otz8RjyY7cArB5Zqigpump,1minute,1788360463,False,6528.6817,305,155,150,125,1788360463,4J1A65P5b2upU6BqCTdHbBMkxUuRVb5svWnmmchpaB81kjY1B7McGYomKSUSyR97iik8D17MxzqCWvGXEHqGjcme,0,0.9893456000000002,34199203.154141,0.034199203154141,2,514120.0,802,1.0,,,0,0.0,,0.0,,,,0,11.180033376,59.416427091,7.064331156000001,12.169378975999999,60.405772691,60.405772691,495,6.572257512603217e-08,2.2718650576183568,1.0,3,False,1673,False,1673,,,305,0,0,41,2,1,1,0.9893456000000002,1.158529814,,0,6528.6817,1,1788360463
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,Gwu8vQ3UVFtJ2xneD2G59Z9nEY46GTAUouCLQSRkpump,1trump,1788361884,False,24118.654,1947,1118,840,611,1788361884,MKRt89BDopXgzdeubBNkL73E86kPd83RHLqwkhrtvzPekgoov7rqqqryMG8TPSzp8DXYxPityUYC1jUbGt5TJta,0,0.9893456000000002,34199203.154141,0.034199203154141,1,400000.0,738,1.0,852,trenchdigger,1,0.98765432,857,1.049357117,,,,0,16.123330835999997,277.29920168880903,9.991798068,17.112676435999997,168.21371776799998,279.3255843238091,932,2.4380384160329594e-07,8.427689079277384,0.7868276358824614,117,False,1797,False,1797,,,1947,0,0,387,6,2,4,1.0387283150000002,3.913328742,trenchdigger,1,24118.654,24,1788361884
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,Cv7k5XTMPcPAVbfC6dAJ6CneUK2oDiM6ukQzvCzfpump,few,1788366696,False,28155.338,2110,1171,917,675,1788366696,Xezu7oEHZEgpeN5PxJiNZVdUjRF2ZQyXaouJDRSZpVRSc8T5YX5665j932h5uNgc4kkyiAvwRwDRSTT4Wi1QGJa,0,0.9893456000000002,34199203.154141,0.034199203154141,1,400000.0,763,1.0,,,0,0.0,,0.0,,,,0,9.266018353,367.1534974807159,5.949709179,10.255363953,278.70308003499997,368.14284308071586,762,2.1981359166625222e-07,7.598406135768486,0.6900951317205499,101,False,1775,False,1775,,,2083,27,0,305,3,1,2,0.9893456000000002,2.9300578440000002,,0,28155.338,37,1788366696
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,F94t7Ux1Q2CmCE7odGGdtjF1bFX9YVZsYEYEYiwPpump,SOLMOG,1788369204,False,12313.203,1259,649,570,423,1788369204,4DGwBif8DJmCB7HER1mDGvPvvQCz2qWuPbg71TkngQ9VESYWPoHy777xyNvcpmjt514SB3mRZzp1rxAPgcNg5Z1W,0,0.991515998,34271956.398008,0.034271956398007994,2,505000.0,,0.0,,,0,0.0,,0.0,,,,0,16.236749987,189.57775416464298,11.346560103,17.228265985,184.821257374,190.56927016264297,573,1.2323408180070277e-07,4.259611631825869,0.8148169247296448,43,False,1792,False,1792,,,1217,42,0,184,1,1,0,0.991515998,0.0,,0,12313.203,6,1788369204
