dev,creator,token,symbol,create_ts,hit,ath_mc,n_tx_30m,n_buys_30m,n_sells_30m,n_wallets_30m,first_tx_ts,create_sig,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,member_first_buy_s,member_first_buyer,member_buyers_n,member_buy_sol_30m,member_first_sell_s,member_sell_sol_30m,kol_first_buy_s,kol_buyers_n,kol_buy_sol_30m,outside_first_buy_s,outside_buy_sol_5m,outside_buy_sol_30m,sol_in_1m,sol_in_5m,sol_in_15m,sol_in_30m,peak_ts_s,peak_price_sol,peak_mult_vs_dev,top10_wallets_share_30m,n_wallets_net_long_30m,x_truncated,x_window_last_s,x_pool_phase,x_curve_last_s,x_quote_mint,x_quote_per_sol_med,x_n_trade_tx_30m,x_n_noop_tx_30m,x_n_transfer_tx_30m,x_trader_ne_feepayer_n,x_dev_n_tx,x_dev_n_buys,x_dev_n_sells,x_dev_buy_sol_30m,x_dev_sell_sol_30m,x_member_buyers,x_member_sellers_n,x_book_ath_mc,x_book_holders,x_book_create_ts
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,CpqR2yLnk6J5s58X6ojArtbaNW3QtD2BJPndThEQpump,PP,1784807132,True,110310.30130136445,1672,986,691,517,1784807132,5ETC1gVZZgnCwE2Xro1QqKMdusJsjB9ZWG8647htNFgigsqc5w3kNCkNfNv2TgqPRcnZFwqC2fH4CxEA95DPnAXP,0,4.940213444,151660777.334045,0.15166077733404498,8,1000000.0,1,0.9719759438573625,,,0,0.0,,0.0,,,,0,232.77731529899998,373.7180243303747,124.577645288,237.717528743,342.77363323437476,379.1471266623747,451,2.2577730504602782e-07,6.931190721982573,0.3483871407423261,163,False,1798,False,1798,,,1672,0,0,47,7,2,5,5.429102332,14.581704038999998,,0,110310.30130136445,257,1784807132
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,BzkLoy1EAdc8hwdCwUAnUBLTQriQNQhCUs47SXVqpump,petcat,1785320333,True,7946186.608643958,1132,641,491,351,1785320333,4KENQRhMSM9M97jC5KAbVGxg1StPHbLYn3wDuZS8CSE3AmwNEfu7zb1X6kibYZDYkXPz8ugdaqdcmAEL2N43CUyL,0,5.927867765,176989690.673615,0.176989690673615,6,1000000.0,1,1.0,,,0,0.0,,0.0,,,,0,173.497554825,265.003950093,116.21615090799999,179.42542259,240.254099444,270.931817858,391,1.3816269115574253e-07,4.12515476722836,0.9060372695766796,30,False,1798,False,1798,,,1132,0,0,13,6,1,5,5.927867765,14.754983693,,0,7946186.608643958,67,1785320333
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,B4iCqVsAZv9dBiBVv58GJiBxWGmwkwbtPTn4sUQTpump,Polycat,1787516028,True,1207092.1,12832,2848,2133,1351,1787516028,kgv782qufpjvWE49zGHxPtU9fxZLbkbKMkm9UpFtcXa6dMtgJJuMH1bvp8YpbqXZE5kqUDTtvjZVd1v7rZzGnxN,0,4.940213444,151660777.334045,0.15166077733404498,6,81861.0,4,0.9891121982234108,,,0,0.0,,0.0,,,,0,327.77745103899997,1037.8620185680425,142.562155342,332.717664483,609.181964088172,1043.2912186780425,1715,6.379183304608552e-07,19.583605236901477,0.2776699195098376,382,False,1800,True,809,,,4967,7865,0,610,6,2,4,5.42920011,10.836121336,,0,1207092.1,2505,1787516028
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,XhQ6ByZ9Z3japZ7UpscuHmPLT76F2ympH78y1Fopump,Biz,1787819834,True,312363.95,,,,,1787819834,YED9WHb2tWnzc6Q3HkMezscjXAfjp5Js5rqmSFHWAEr3XJ1WxiNdg9xgJwAP55DF5YYGcKzvnP4ZR2JKrGqM2AX,0,3.952559123,124858181.763706,0.124858181763706,7,52275.0,2,,402,trenchdigger,,,409,,,,,0,179.836839733,,102.80361919,183.789398856,788.285752771,,1063,9.060104222924295e-07,28.62014468756125,,,True,1070,True,614,,,4252,25748,0,528,6,1,5,3.952559123,9.615417948,"0xPromiser,trenchdigger",2,312363.95,502,1787819834
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,B1AXzSHRDv1nUP1dmcxdKD4MGxdkph4JzuWDP1fDpump,Dancedoge,1788290595,True,32353345.941130947,269,25,32,25,1788290595,39DBaqxnyhoLgQpe87KY1fLxqT5crKJDWwG96ngz3g1TGQRmdGJyj6KthsjBQ1Mie4kU4iN2wUighQr3ZQYpv8jx,0,6.915522086,200963210.657135,0.20096321065713502,7,51429.0,5,1.0,,,0,0.0,,0.0,,,,0,24.995979848,24.995979848,31.911501934,31.911501934,31.911501934,31.911501934,1,6.587903092849962e-08,1.9144269088770547,,0,False,225,True,225,,,57,212,0,0,3,1,2,6.915522086,9.202852113,,0,32353345.941130947,24,1788290595
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,4K5PbwvKTsKd6f2mVmyi34MqSaGEUXQKPDM7KMTfpump,ok,1788290740,True,5551449.1,396,25,30,25,1788290740,3gSW4n8GGe5ne42W7dvuEghQfiy7tHeyxGss31B4ZK2zV63f5u8ppBSiiQDBZoJnZv6qcxvn4N1xJDFCYBQTqKqT,0,4.940213444,151660777.334045,0.15166077733404498,9,99100.0,4,1.0,,,0,0.0,,0.0,,,,0,12.78893725,12.78893725,17.729150694,17.729150694,17.729150694,17.729150694,2,4.775637482861343e-08,1.4660842109889072,,0,False,601,True,601,,,55,341,0,0,3,1,2,4.940213444,5.862773077,,0,5551449.1,5,1788290740
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,3T1zTWsovT32auYrrvh5ZVWnAmHPosHbGfXVQ5BYpump,mlem,1788364619,False,6304.1673,490,83,82,76,1788364619,5zizoiTc4DkWHKAtNrn1Hns4ziPBnaFvtawttAHD7qDWgSnazuK1AKH3fqcqMGv1N7k3JAnbigJAg8TKJXY7fCbH,0,4.940213444,151660777.334045,0.15166077733404498,6,35251.0,3,1.0,,,0,0.0,,0.0,,,,0,36.342257556999996,36.342257556999996,41.17491544700001,41.282471001000005,41.282471001000005,41.282471001000005,3,5.6686834552131495e-08,1.7402424996887769,1.0,1,False,1171,False,1171,,,165,325,0,0,3,1,2,4.940213444,8.183293696,,0,6304.1673,1,1788364619
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,9LHNJercroLqBMfq2V2Dmx3VmF5CR8n1Nn1ctipspump,looong,1788381022,False,22168.249,3086,1257,1119,796,1788381022,X1PF3XC6L1uxWxiJVcXRscmaVnvpEEmM4MVo36terSmpLphdjt4Gk7q3yUTQsZY4z6JBFADdRiuqdtM2Bhsha5R,0,5.927867765,176989690.673615,0.176989690673615,8,46050.0,2,1.0,,,0,0.0,,0.0,,,,0,247.475314889,505.4099244694829,173.61336025699998,253.403182654,403.619716003,511.3377922344829,912,2.2227814046151657e-07,6.636608791456428,0.641862552875755,68,False,1799,False,1799,,,2372,714,0,121,5,1,4,5.927867765,14.431274995999999,,0,22168.249,14,1788381022
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,2PABK8tMFj1LqSgTxNX5tAum6hWkeUwWv3D7HBsSpump,Shrekt,1788423433,False,9558.2001,1932,250,241,175,1788423433,4FJjDDFybtt86azS3jrfyXUrmNtoUV4N4jRFsNcyDXYeCBtxCGYENdZkYCem5AJrfpBnjpB7SYFujGkWJ876E23R,0,6.915522086,200963210.657135,0.20096321065713502,18,67999.0,1,1.0,,,0,0.0,,0.0,,,,0,102.062252602,116.45200043499999,99.193439371,108.97777468800001,109.69092517200001,123.367522521,3,8.546874011249793e-08,2.483698585620835,1.0,4,False,1029,False,1029,,,491,1441,0,8,4,1,3,6.915522086,14.365446523,,0,9558.2001,2,1788423433
gampsito,96hq1rUo5qQk26NAP7wK6VtcnZXPKbkHpdVsdGwe3Cda,9qpPGardkPom55xeRazDdqwhH3V6VvqqqpZLbTpnpump,HeHa,1788424764,False,7267.6631,1185,61,65,53,1788424764,57VazGGKS7hmAwvqqhodjT7nTTd3JYjJP81y6tjJRwRunfWKgP9AWNyqow3QsXkoRgjhd8NLrUuq5rCaYuVBQUqg,0,4.940213444,151660777.334045,0.15166077733404498,2,50441.0,1,1.0,,,0,0.0,,0.0,,,,0,31.909738641999997,31.909738641999997,36.849952085999995,36.849952085999995,36.849952085999995,36.849952085999995,2,6.202268958849947e-08,1.904049171552355,1.0,1,False,221,False,221,,,126,1059,0,0,4,1,3,4.940213444,7.379324049,,0,7267.6631,1,1788424764
