dev,creator,token,symbol,create_ts,hit,ath_mc,n_tx_30m,n_buys_30m,n_sells_30m,n_wallets_30m,first_tx_ts,create_sig,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,member_first_buy_s,member_first_buyer,member_buyers_n,member_buy_sol_30m,member_first_sell_s,member_sell_sol_30m,kol_first_buy_s,kol_buyers_n,kol_buy_sol_30m,outside_first_buy_s,outside_buy_sol_5m,outside_buy_sol_30m,sol_in_1m,sol_in_5m,sol_in_15m,sol_in_30m,peak_ts_s,peak_price_sol,peak_mult_vs_dev,top10_wallets_share_30m,n_wallets_net_long_30m,x_truncated,x_window_last_s,x_pool_phase,x_curve_last_s,x_quote_mint,x_quote_per_sol_med,x_n_trade_tx_30m,x_n_noop_tx_30m,x_n_transfer_tx_30m,x_trader_ne_feepayer_n,x_dev_n_tx,x_dev_n_buys,x_dev_n_sells,x_dev_buy_sol_30m,x_dev_sell_sol_30m,x_member_buyers,x_member_sellers_n,x_book_ath_mc,x_book_holders,x_book_create_ts
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,7tnEjDwj9hCN1XGTk3NYFC8aP5yNwqBAARA2mzqwpump,SCRAP,1769466496,True,100319.46,3056,1647,1408,937,1769466496,4G7pqUdQN5kn73KBM19q4DQWJjL56NV9fEQM3UiTboa5X59dxuH91Wt5rzP1aQCZypLwafjJYmzL618AL5HZXAjJ,0,0.021694925,706037.126454,0.000706037126454,0,191924.0,,0.0,,,0,0.0,,0.0,,,,0,27.841024732999998,968.9877096089999,20.19125533,27.862719657999996,518.063389569,969.0094045339999,903,7.685570658401907e-07,25.011832135014338,0.35305222800057007,262,False,1799,True,776,,,3052,4,0,99,1,1,0,0.021694925,0.0,,0,100319.46,40,1769466496
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,HymwfNZhjEFycZkkgMCJPCFANuvAxo345bhGHob5pump,RAPEHIM,1772520094,False,2550.1865,6,3,3,3,1772520094,3G3UtS35hEhiCzr8PbH1NnCGR6psJXSFFp8wmmVnGBf64QYvRwhpeyVPcQoYyDuBL3ttDNS5doiKVziPqpB1TmyR,0,0.080480904,2818584.737504,0.002818584737504,0,216753.0,13,1.0,,,0,0.0,,0.0,,,,0,2.191584391,2.191584391,2.272065295,2.272065295,2.272065295,2.272065295,0,2.973339020487365e-08,1.0413163329490904,,0,False,246,False,246,,,6,0,0,0,2,1,1,0.080480904,0.081077695,,0,2550.1865,1,1772520094
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,Fm6bczHwfwpSSm1fdW5twG3P2Pe8nccfVY6LnPZLpump,PVE,1772755673,False,4342.7586,20,10,10,10,1772755673,3J9BVCPWHndsoyMQ8YKorSHhmxXuDLoHW4b81RQUZvAt97v1PtTuXavotxJF7ELE5WAYMshZMVSS6ic3fvuk2Kug,0,0.9891228799999999,34199203.154141,0.034199203154141,0,196038.5,9,1.0,,,0,0.0,,0.0,,,,0,5.228120227,5.228120227,6.217243107,6.217243107,6.217243107,6.217243107,6,3.359539487935572e-08,1.1615702737790017,,0,False,967,False,967,,,20,0,0,0,2,1,1,0.9891228799999999,1.202821757,,0,4342.7586,1,1772755673
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,5xZTbqPvaa4JJg333JEYrxUBjPHjxdztxZMm2MvZpump,PENGU,1772839549,False,3303.0797,41,20,20,20,1772839549,5wzag6TRQCEXzwMfdGg7GLqmMSnad8s4CBkm9sjKGwAD2BWvqLgdys5q6Ekh7Yr9enACBKMUeqgXxnRTNtwFwj94,0,0.9891228799999999,34199203.154141,0.034199203154141,0,206848.0,8,1.0,,,0,0.0,,0.0,,,,1,9.668745286,9.66973294,6.736980164999999,10.657868165999998,10.658855819999998,10.658855819999998,4,3.683102655376673e-08,1.2734431534814261,,0,False,650,False,650,,,40,1,0,0,3,1,1,0.9891228799999999,1.012335799,,0,3303.0797,1,1772839549
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,rLq8q1TFEjq691DWiTLMSy6S3Zm7xsodM7Q5QUfpump,OBESE,1773196603,False,26544.317,669,404,265,219,1773196603,4oVKANk9cnrShcjxr6xqZ3DHjY2GL9s3ouSggtU4rK6T89yiGe4Re1fGvAVttNchELUkXED9K3FHxEnJUvBdMRQQ,0,1.779246336,60027971.971302,0.060027971971302004,3,372788.5,17,1.0,,,0,0.0,,0.0,,,,0,96.049339516,180.71040257800001,31.928765278000004,97.828585852,171.922122921,182.489648914,655,1.696494929328777e-07,5.723611621769488,0.45064098981529715,52,False,1744,False,1744,,,669,0,0,4,2,1,1,1.779246336,3.279559342,,0,26544.317,4,1773196603
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,GAAnfHRHoZWQSFwdf5W8HyC3pou5MaxsWyPLqGotpump,AMIGA,1773346546,False,3301.888,6,3,3,3,1773346546,3ajfx6T8xKMZXx5nrRks1iwbvUNxeNPFvXbyPwJz9oYRNVfb9erNCSSbh6RgQ9SZHQQX8TZirfFYDng4cU8y86vQ,0,10.865666089,285268882.13929,0.28526888213928997,0,34398.0,9,1.0,,,0,0.0,,0.0,,,,21,0.978251058,0.978251058,11.843917147,11.843917147,11.843917147,11.843917147,0,3.8089209056088194e-08,1.0,,0,False,234,False,234,,,6,0,0,0,2,1,1,10.865666089,10.864197528,,0,3301.888,1,1773346546
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,8M2XdKkyfcMCkoxThgzKSuXLLQiK7sSZn8uYbjw8pump,OARFISH,1773371534,False,5367.7129,73,38,36,36,1773371534,2ukhgLm8p56qELTNSgcUzrPdaZkXBXhGSBDfxfXJ8tAR3hR2R458i7KtxZhQUZMbUzbwatiU9rmdavFL3Bg9k2DL,0,0.9891228799999999,34199203.154141,0.034199203154141,1,62551.0,12,1.0,,,0,0.0,,0.0,,,,0,16.294003698999997,16.294003698999997,4.1464257280000005,17.283126578999997,17.283126578999997,17.283126578999997,85,5.925043694949691e-08,2.048600604818147,1.0,2,False,775,False,775,,,73,0,0,1,2,1,1,0.9891228799999999,1.176232816,,0,5367.7129,2,1773371534
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,BsFHx5U2V9BaqNaPgdFZsYVtS6iCm4T1NidtaUJBpump,KINDA,1773538382,False,4890.304,115,57,57,54,1773538382,3mhatJNRSd2CJYdyqG1QobyqEvaiA795F8DoUXyjg46YqAGbjrgZZz3SPsMd7FSQ37ynwjadZNRqCiJWravtf9Nj,0,0.9891228799999999,34199203.154141,0.034199203154141,3,75000.0,10,1.0,,,0,0.0,,0.0,,,,0,23.118614909000005,24.482849949000002,5.888131293000001,24.107737789,25.471972829,25.471972829,199,5.575537668832436e-08,1.927757908400281,1.0,2,False,571,False,571,,,114,1,0,1,3,1,1,0.9891228799999999,1.178075996,,0,4890.304,1,1773538382
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,FJwYo6Zjs6oQnTcU7Qf9oeiuE5ZyFoHi4cxdfhAApump,FLOAT,1773605082,False,2670.7165,8,4,4,4,1773605082,3Fwc8qUkLyFbipNXui5CMKP7QsaiPoN6FMM5syKicJKMp9zoU18pAXoJupkScQBTaCveuSea3rkD6i23e6vJJNwz,0,0.9891228799999999,34199203.154141,0.034199203154141,1,97681.5,10,1.0,,,0,0.0,,0.0,,,,0,0.969571586,0.969571586,1.9586944659999999,1.9586944659999999,1.9586944659999999,1.9586944659999999,6,3.0330179653068095e-08,1.048674534408576,,0,False,779,False,779,,,8,0,0,0,2,1,1,0.9891228799999999,1.018552211,,0,2670.7165,1,1773605082
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,HNAffRaW5zusJCeXf9fTT5WXij6637FWFh7YbM5cpump,COMPUTA,1773605624,False,2692.0779,33,16,17,16,1773605624,5LHQPdVuxsxscoE2b33x6dD5ZkahLSm3Hw1xzjwM5oD8XNmHingmvLWBq23x9bT5AoycQgf5GhRt3x7NxwsExFG4,0,0.9891228799999999,34199203.154141,0.034199203154141,1,200483.0,9,1.0,,,0,0.0,,0.0,,,,0,0.9660563329999999,1.699389657,1.9551792129999996,1.9551792129999996,2.688512537,2.688512537,9,3.0302472753913745e-08,1.0477165605388874,,0,False,510,False,510,,,33,0,0,0,2,1,1,0.9891228799999999,1.0154731,,0,2692.0779,1,1773605624
