dev,creator,token,symbol,create_ts,hit,ath_mc,n_tx_30m,n_buys_30m,n_sells_30m,n_wallets_30m,first_tx_ts,create_sig,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,member_first_buy_s,member_first_buyer,member_buyers_n,member_buy_sol_30m,member_first_sell_s,member_sell_sol_30m,kol_first_buy_s,kol_buyers_n,kol_buy_sol_30m,outside_first_buy_s,outside_buy_sol_5m,outside_buy_sol_30m,sol_in_1m,sol_in_5m,sol_in_15m,sol_in_30m,peak_ts_s,peak_price_sol,peak_mult_vs_dev,top10_wallets_share_30m,n_wallets_net_long_30m,x_truncated,x_window_last_s,x_pool_phase,x_curve_last_s,x_quote_mint,x_quote_per_sol_med,x_n_trade_tx_30m,x_n_noop_tx_30m,x_n_transfer_tx_30m,x_trader_ne_feepayer_n,x_dev_n_tx,x_dev_n_buys,x_dev_n_sells,x_dev_buy_sol_30m,x_dev_sell_sol_30m,x_member_buyers,x_member_sellers_n,x_book_ath_mc,x_book_holders,x_book_create_ts
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,Do6N8m8ssowyAvXs2tkGKkJ8vaNC8H5oRkMdr9shpump,DIRECTOR,1763482998,True,1992792614.6362145,258,136,122,94,1763482998,3nQPGehghpVmbeerzLkYDntSceKf1o517JsYLMdb2Ld3TheMSLgFnCXo9eX9s2UGZvqzQjhVudXS4h12SgN9uRWT,0,0.98959616,34199203.154141,0.034199203154141,3,762780.0,16,1.0,206,hashbergers,1,1.4666666650000002,,0.0,,,,0,17.479331725,51.631422802,11.626480224000002,19.935594550000005,30.291379832,54.087685627,1306,8.31086583993334e-08,2.8721310847314827,0.8908356120332194,22,False,1781,False,1781,,,258,0,0,0,2,1,1,0.98959616,1.033097812,hashbergers,0,1992792614.6362145,2207,1763482998
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,4hcEYuhgESkmmKqVcM1JHNXjxZAvMcxat31FRTfwpump,CHICKY,1774919965,True,312290.05,2716,1536,1189,669,1774919965,cB9fUAenUuYpCG28QtuwJX3iZBEDtgUcXq2Gus7v4jRUdCGDBwKza5hNnbpuXfbnzi2M9ZxJNMXu1fGDuTkWwXe,0,1.9767772,66285714.223523,0.066285714223523,0,323939.5,15,1.0,347,hashbergers,1,3.6177777769999997,1030,3.744789807,,,,0,266.78866207,559.2626115894386,72.00203941500001,268.76543927,476.0459692704387,564.8571665664387,641,3.25509777194441e-07,10.91506319886397,0.34068325538590427,191,False,1800,False,1800,,,2716,0,0,52,2,1,1,1.9767772,2.914892165,hashbergers,1,312290.05,440,1774919965
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,FxtFm6peRSecXwFYD181Ndig8FpgCNzQFucyn1Aspump,KIKI,1775165174,True,186500.62,812,521,295,327,1775165174,5R1DQHebWjZmTjFQe6xJBSot2JZ4ihJk67JvPukkNCjdMKVhK9KaLgvtCctUmY7UobScqB5WCyvHAvxn26zXFQQi,0,3.08295004,99948051.904475,0.099948051904475,3,356222.5,63,1.0,13,hashbergers,1,0.9327094290000001,,0.0,,,,0,94.22847899,250.433128542,48.097555879,98.244138459,147.73708692999998,254.44878801099998,1798,3.914120853458589e-07,12.689428928334726,0.32178685011679375,162,False,1798,False,1798,,,811,1,0,12,4,1,2,3.08295004,10.762440904,hashbergers,0,186500.62,136,1775165174
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,3vtH9Q8GoKmu8TbaHm5cQCjuFv2L8xEFBqwPSiXhpump,SNEAKERS,1775449422,True,111516.58629964881,389,227,161,151,1775449422,eKJPDxgSfX9Bt75iCbKUitbwdWVneBfMjEkLbneaVzFJJuVLU9hE5gvfXYNWvB9KhUE4iAvtowpzb1qs6KmYjvB,0,2.601874873,85588993.801477,0.085588993801477,0,572.0,58,1.0,949,hashbergers,1,1.026666665,,0.0,,,,1,37.380045847,100.012535473,26.815867865,39.98192071999999,68.232174708,103.641077011,1115,1.488286231679174e-07,4.895735854935265,0.4612003121471569,59,False,1707,True,1707,,,388,1,0,4,4,1,3,2.601874873,4.268530325,hashbergers,0,111516.58629964881,115,1775449422
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,7QoQCyqoHa62DSDbpPL87UQ1GuNM7c2Zrb4vSbvDpump,WATERFALL,1779234550,True,197786.54,3400,1595,1360,812,1779234550,LRzJPnaToub9xNffCcujHEAbVee2KrXoBRz8MXBPx2aRKQVeNzJXV4dUJ71XumS4LuK3uhjfRxdeBf3dTnp7HL2,0,11.793533755,302753988.011987,0.302753988011987,3,4250.0,,0.0,,,0,0.0,,0.0,,,,0,42.963590677999996,1320.5455542399427,40.075742825,54.757124432999994,80.500248423,1332.339087994943,1636,2.344128942039269e-06,60.17656797020874,0.5218379204912675,380,False,1800,True,1057,,,2946,454,0,299,2,1,0,11.793533755,0.0,,0,197786.54,88,1779234550
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,4wNsn7WNtct8kAhRyPX1qTovYPjFBiJFfoktDWt4pump,ALBERT,1781650656,True,467271.65385532903,626,365,259,214,1781650656,3t4eLyU43m5fU3Z3stskeBZ83jSYpUY64xT4aFV4yje83AYJbaPKSfkoWNScKYryiqXB4LsWAk5VnJpktBsvF6jG,0,6.468299828436556,107400615.838289,0.107400615838289,0,505000.0,23,0.7672209265919673,,,0,0.0,,0.0,,,,0,177.53886945097742,290.05086958565414,110.59001754342565,184.00716927941397,242.97037856833413,296.5191694140907,741,4.203548937590311e-07,6.979635399998264,0.5236721171464465,49,False,1752,False,1752,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,73.82372177802756,624,2,0,22,5,1,2,6.468299828436556,11.959792096580504,,0,467271.65385532903,377,1781650656
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,8kHKC34ZLfFuJTzcLxPkY5a8WHUj7CtpvciiEAJkpump,COBSON,1782512556,True,126877.67,346,232,113,108,1782512556,,0,149.96782434209186,765836604.853427,0.7658366048534271,0,505000.0,,0.0,,,0,0.0,,0.0,,,,3,10.498406252074467,187.62893725863825,158.729536630858,160.46623059416632,252.16909940019838,337.59676160073013,1713,1.7674576731289683e-06,9.025827970428944,0.9493202055596498,52,False,1783,True,354,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,71.37176912612794,345,1,0,8,1,1,0,149.96782434209186,0.0,,0,126877.67,9,1782512556
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,AV1TWr4M2c9PYp7YjwfXJ2EqxqZKsCFoUiyEE47Dpump,mouse,1783053800,False,4494.8372,125,65,60,45,1783053800,4RHNNLg3buxJcQtTDALX5eaNvb6jVgqXjmTMnKAgFkcVY4UHQR9774ndQj4xf7DuMKkxGDprY9FpMr5Xm8jUf2Av,0,6.201691281,183773480.687547,0.183773480687547,2,355000.0,17,1.0,,,0,0.0,,0.0,,,,0,32.574025464,32.574025464,32.727672805999994,38.775716745,38.775716745,38.775716745,16,5.522673761755003e-08,1.6365228998239547,1.0,2,False,1590,False,1590,,,125,0,0,1,1,1,1,6.201691281,8.248944867,,0,4494.8372,1,1783053800
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,73Avdj3wc3eg4qrWRmqRPWkZvRz7YxwPs4wpgnzVpump,CREAMUS,1783384097,False,74211.569,92,53,38,41,1783384097,qbgb2gtgwDbt4uqpAyiphpwHDJH55oat9NhmkvC4YbDXnkHsx3rdv8gn41XjUzzfyBTSFwvuV8M94EUt6aNfj3E,0,57.001691281,703000000.004252,0.703000000004252,2,355000.0,,0.0,,,0,0.0,,0.0,,,,0,22.626341574,35.05848532900001,70.835167954,79.62803285500001,83.35894007700001,92.06017661000001,1677,2.830776704367291e-07,3.4911876796286707,0.9999522728878906,11,False,1720,True,1720,,,91,1,0,3,1,1,0,57.001691281,0.0,,0,74211.569,22,1783384097
jester,4s2WzRLa35FB58bZY1i4CN3WoywJeuYrGYHnTKFsT23z,DABGWhhKpZNvRjLCoyHEf9UcdpyMsYSoXNBbZsEFpump,SEKOLAH,1783608608,False,9814.1341,267,159,106,116,1783608608,5ukGSaHu4ZsbmBDD8ti9q8PR5bbVmfLp5iqggzfQpyXLsJrGzG7s3Y5L8Q5669dCaGvUQZp4p7TnTFf2pgbp1XQq,0,1.496297212864481,28292241.4788,0.0282922414788,0,5000.0,,0.0,,,0,0.0,,0.0,,,,0,74.57266118541423,97.89491992374431,35.88928760151269,76.0689583982787,84.90937653948592,99.39121713660879,185,1.2316092213544119e-07,2.3287476043191533,0.5477622010184011,42,False,1785,False,1785,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,77.67684882721869,265,2,0,5,2,1,0,1.496297212864481,0.0,,0,9814.1341,2,1783608608
