dev,creator,token,symbol,create_ts,hit,ath_mc,n_tx_30m,n_buys_30m,n_sells_30m,n_wallets_30m,first_tx_ts,create_sig,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,member_first_buy_s,member_first_buyer,member_buyers_n,member_buy_sol_30m,member_first_sell_s,member_sell_sol_30m,kol_first_buy_s,kol_buyers_n,kol_buy_sol_30m,outside_first_buy_s,outside_buy_sol_5m,outside_buy_sol_30m,sol_in_1m,sol_in_5m,sol_in_15m,sol_in_30m,peak_ts_s,peak_price_sol,peak_mult_vs_dev,top10_wallets_share_30m,n_wallets_net_long_30m,x_truncated,x_window_last_s,x_pool_phase,x_curve_last_s,x_quote_mint,x_quote_per_sol_med,x_n_trade_tx_30m,x_n_noop_tx_30m,x_n_transfer_tx_30m,x_trader_ne_feepayer_n,x_dev_n_tx,x_dev_n_buys,x_dev_n_sells,x_dev_buy_sol_30m,x_dev_sell_sol_30m,x_member_buyers,x_member_sellers_n,x_book_ath_mc,x_book_holders,x_book_create_ts
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,EjBJ7bFhTEBbnJ2swukCQ8Fwj11Z3Lkd3V56bLqRDv3U,kai,1714962170,False,43135.62362284234,49,29,20,24,1714962170,8endyt1hrn2oK12ADbWHKFVcXB3wbJthSXxQ2EKJsjkBafyrzDQ3rJ9NtUW7JHDZpwsB3oFeVpMiCN6TrgLZZtj,0,3.0012319200000004,97545454.545454,0.09754545454545399,0,85000.0,,0.0,,,0,0.0,,0.0,,,,3,19.721116819,19.871116821,12.255322977999999,22.722348739000005,22.872348741000007,22.872348741000007,157,7.554035444903604e-08,2.455197867966141,1.0,5,False,1533,False,1533,,,49,0,0,0,1,1,0,3.0012319200000004,0.0,,0,43135.62362284234,36,1714962170
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,CRfdJ3WKgwUquJHQmEtZVEMKM1vZGDZh1HBqCHYCfswv,glown,1715964771,False,37559.366104417546,547,85,25,69,1715964771,3ajozRzfbU2DRPy1d6HX44HmjSuKgdj2gWhH6KVgr3LWZstSnkCU6vU7GaX6ZHPmK2EQPWEBoD861ufFbG6aTnMk,0,21.00123192,441823529.411764,0.441823529411764,0,30000.0,,0.0,,,0,0.0,,0.0,,,,12,76.672782055,172.980531638,39.94318663000001,97.674013975,193.98176355799998,193.98176355799998,578,4.108523881343645e-07,8.643504956483376,0.8426818804957871,53,False,1797,True,578,,,108,1,438,2,1,1,0,21.00123192,0.0,,0,37559.366104417546,57,1715964771
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,48RKWJe3eDvfQbQ6tj9SCsmGcyuoq6PgLMpcTyngKmAV,SOSA,1716837811,False,8270.146059050503,2490,45,6,45,1716837812,,,,,,,,,,,,0,0.0,,0.0,,,,1,157.319372034,157.319372034,72.31095056,157.319372034,157.319372034,157.319372034,78,4.108523879845336e-07,,0.7291985749632887,39,False,1800,True,78,,,49,2,2439,2,0,0,0,0.0,0.0,,0,8270.146059050503,115,1716837811
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,9cRAQ1n3To7rb1y3WBEM54MtNW4X5YQoce5USpHxgQ2n,BCC,1716924165,False,10440.56987766739,1713,27,5,22,1716924165,,,,,,,,,,,,0,0.0,,0.0,,,,0,155.52922388700003,155.52922388700003,155.52616148700002,155.52922388700003,155.52922388700003,155.52922388700003,36,4.108523879555341e-07,,0.8633433413942756,20,False,1799,True,36,,,31,1,1681,1,0,0,0,0.0,0.0,,0,10440.56987766739,87,1716924165
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,2TCm1JJmWnW7DhzmhMagQQzGJnuu3tXvjqyq4QVhzrhn,mitch,1716927561,True,284579.02288,95,55,45,50,1716927561,5ErMj1o73SdAEq8kJhqR6MgTdLbDRAmdTwfKjKynwgo69o1yojByPfJaEyyuKc5VQUNsTjMoBWTTpWrsgrnJzLiv,,,,,,60000.0,39,,,,0,0.0,,0.0,,,,0,62.557400389,65.04749939800001,55.21497641600001,62.557400389,62.557400389,65.04749939800001,38,2.877540567149202e-07,,1.0,6,False,1092,True,1092,,,95,0,0,5,1,0,1,0.0,59.275439449,,0,284579.02288,875,1716927561
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,3SFjo8sKtNpDNVrSxnxTPGZjJSM3KjGoVYnFoJrWULBQ,XXX,1717067818,False,8636.86110208404,2492,110,18,92,1717067819,,,,,,,500000.0,,,,,0,0.0,,0.0,,,,1,190.866849696,190.866849696,77.408713327,190.866849696,190.866849696,190.866849696,101,4.108523881681972e-07,,0.6362982530287403,79,False,1800,True,101,,,118,1,2373,10,1,0,0,0.0,0.0,,0,8636.86110208404,116,1717067818
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,FpTEQdi4gZ1DfoNGnNHKYzwUWsUQHuCa7tEwC1Efpump,HARD,1717207308,False,34340.56582056289,1762,14,3,12,1717207308,5b2qRy79TM6enHbpEG1BggVXxh1Q8fcNxeUxBcgN5WHPELfbE5X9tKpMAZDWTgHzWx9zs3SwnUDb55RmogHdhzWn,0,64.00123192,730553191.489361,0.730553191489361,0,838334.0,,0.0,,,0,0.0,,0.0,,,,1,25.537702616,110.54612407600001,89.538934536,89.538934536,174.547355996,174.547355996,415,4.108523879168681e-07,4.689746028621334,1.0,9,False,1797,True,415,,,16,22,1724,1,1,1,0,64.00123192,0.0,,0,34340.56582056289,1197,1717207308
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,DmrnMHs26sobWngp2gR3psy9MLfzFdmpDoBzSxGQpump,fagua,1717265848,False,13098.77748347308,1936,48,13,53,1717265848,,,,,,,,,,,,0,0.0,,0.0,,,,0,200.11936067,200.11936067,200.11629827000002,200.11936067,200.11936067,200.11936067,53,4.1085238801353313e-07,,0.7233598663790719,43,False,1800,True,53,,,60,29,1847,3,0,0,0,0.0,0.0,,0,13098.77748347308,82,1717265848
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,8WQyeUMjVkkmpG4p2VWP3oqUJBsDGnWukKqu6vBQpump,RNT,1717872309,False,61185.134,6692,31,5,31,1717872309,qC73X6MJjjQ57X9JNKFtzUPpgvE7VpCruEAHCxawunyrz41QJrZHUreQ3HHV1Hw8RgEQ5amGpMDhxADDTMw8Lub,0,32.00123192,553806451.612903,0.553806451612903,0,143942.0,,0.0,,,0,0.0,,0.0,,,,0,60.69623003399999,145.70465151099998,92.697461954,92.697461954,177.705883431,177.705883431,418,4.108523879990333e-07,7.110123250981154,0.901655139227523,29,False,1800,True,418,,,35,87,6570,1,1,1,0,32.00123192,0.0,,0,61185.134,1303,1717872309
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,Cgc58CWJU1zkLjEDGJ8dWjK9U4TdWStYRjpT8MUHpump,JDS,1718851014,False,54755.166,2037,34,10,34,1718851014,,,,,,,500000.0,,,,,0,0.0,,0.0,,,,0,158.611580103,158.614642503,73.606221025,158.611580103,158.614642503,158.614642503,219,4.1085238800386664e-07,,0.8542659695941918,27,False,1800,True,219,,,43,89,1905,1,2,0,0,0.0,0.0,,0,54755.166,80,1718851014
mitch,4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,FDEF2U9geiWS7sdGPCUo2r1wGswkJr2mmVTECiH6pump,MITCH,1756850048,True,42578893.38703824,9,4,0,4,1756850048,3UxksKEyNCh8n5CdLxKNKUuLYb4SxYEzqPVHC9KWwSX7CGSdHjPEBGBfgjn3aYRiAejQrVX1JPqJjdo8dmknPDYy,0,84.682345621,792306900.0,0.7923069,1,30000.0,,0.0,,,0,0.0,,0.0,,,,0,85.33030737499999,85.33030737499999,170.01265299599999,170.01265299599999,170.01265299599999,170.01265299599999,0,1.7001265299599998e-07,1.590676274590961,1.0,4,False,1,False,1,,,3,2,4,1,1,1,0,84.682345621,0.0,,0,42578893.38703824,3604,1756850048
