dev,token,symbol,create_ts,hit,ath_mc,coverage_s,truncated,sol_ok,quote_mint,launchpad_platform,migrate_s,curve_last_s,n_trades,measurable,n_markets,dev_first_buy_s,dev_first_buy_sol,dev_first_buy_quote,dev_first_buy_tokens,dev_supply_share,dev_same_slot_buyers,dev_fee_first_tx,dev_fee_med_60s,dev_sold_by_60s,dev_sold_share_60s,dev_sold_by_120s,dev_sold_share_120s,dev_sold_by_300s,dev_sold_share_300s,dev_fee_lamports_med,dev_first_sell_s,dev_sold_share_30m,dev_sell_sol_30m,member_first_buy_s,outside_first_buy_s,sol_in_1m,sol_out_1m,net_sol_1m,n_buys_1m,n_wallets_1m,member_buy_by_1m,member_buy_sol_1m,member_buyers_1m,outside_buy_sol_1m,top10_share_1m,n_net_long_1m,sol_in_5m,sol_out_5m,net_sol_5m,n_buys_5m,n_wallets_5m,member_buy_by_5m,member_buy_sol_5m,member_buyers_5m,outside_buy_sol_5m,top10_share_5m,n_net_long_5m,n_price_buckets,peak10_mult,peak10_ts_s,end_mult,mult_30s,max_after_30s,max_after_30s_ts,ahead_30s,mult_60s,max_after_60s,max_after_60s_ts,ahead_60s,mult_120s,max_after_120s,max_after_120s_ts,ahead_120s,mult_300s,max_after_300s,max_after_300s_ts,ahead_300s,peak1_ts_s,peak1_mult,grad_s
0xkgc,9gnhdGXniTMt6QHs5bCXvqkGMcz4XNEX2RZvbUaLpump,OG,1788315860,False,4507.9479,1800,False,True,,Pump.fun,,516,110,True,1,0.0,0.991515998,0.991515998,34271956.398008,0.034271956398007994,0.0,505000.0,505000.0,False,0.0,False,0.0,True,1.0,452500.0,211.0,1.0,1.169292556,,0,9.598451568,5.217476029,4.380975539,47,47,False,0.0,0,8.606935570000001,0.8836513316741027,30,11.608031618999998,10.462632306,1.1453993129999986,53,54,False,0.0,0,10.616515621,1.0,6,4,1.4359705688428543,10.0,1.337972900303523,1.4359705688428543,1.337972900303523,70.0,0.9317550995364058,1.241098801693857,1.337972900303523,70.0,1.0780551060700823,1.337972900303523,,,,1.337972900303523,,,,2.0,1.5435672707273846,516.0
0xkgc,2WZa2thMBXQkMC7ZMFbJqb9JndDZxc7cKfu59tC1pump,tradoor,1788321053,False,4145.966,1800,False,True,,Pump.fun,,997,79,True,1,0.0,0.991515998,0.991515998,34271956.398008,0.034271956398007994,0.0,505000.0,505000.0,False,0.0,False,0.0,True,1.0,452500.0,224.0,1.0,1.003179161,,0,13.165054502000002,10.062167599999997,3.102886902000005,35,35,False,0.0,0,12.173538504,0.964582690169111,16,14.510010887,14.318402895,0.19160799199999978,40,38,False,0.0,0,13.518494889000001,1.0,6,7,1.2035151994790232,0.0,1.1288995349778506,1.1902494958316234,1.178293703491343,70.0,0.9899552216723041,1.1447871842841448,1.178293703491343,70.0,1.02926877560055,1.1555479814764076,1.1288995349778506,160.0,0.9769386932211078,1.1288995349778506,,,,4.0,1.4175909980162962,997.0
0xkgc,EjrGfQHLaFhewKtMu2fNN8YU39RqGCrSqnve92Vspump,1LEFT,1788322612,False,11622.297,1800,False,True,,Pump.fun,,1672,937,True,1,0.0,1.090462183,1.090462183,37577914.616381,0.037577914616381,3.0,505000.0,505000.0,False,0.0,False,0.0,False,0.0,452500.0,753.0,0.22338862440321985,0.789926856,,0,7.295653246999999,4.718552118,2.577101128999999,25,25,False,0.0,0,6.205191063999999,0.9205004850705216,18,12.457140563,7.670099466,4.7870410969999995,40,36,False,0.0,0,11.366678380000002,0.9902926717780839,13,72,3.6772805665955466,770.0,1.1131697829652216,1.1108815593467531,3.6772805665955466,770.0,3.3102363934801007,1.1047788323992105,3.6772805665955466,770.0,3.328521925614489,1.1394161792808808,3.6772805665955466,770.0,3.2273375027168623,1.3479199598712044,3.6772805665955466,770.0,2.7281149297224707,777.0,3.7955202907328247,1672.0
0xkgc,3PmNVsEmAhgEGteXc1XMjir4kTaLwAcNNAqbBRBApump,missooor,1788326195,False,5535.6667,1800,False,True,,Pump.fun,,1640,227,True,1,0.0,0.991515998,0.991515998,34271956.398008,0.034271956398007994,3.0,505000.0,505000.0,False,0.0,False,0.0,False,0.0,452500.0,1611.0,1.0,1.016515403,,0,5.2072177779999995,3.682877211,1.5243405669999994,18,18,False,0.0,0,4.21570178,1.0,10,8.067589254,6.071758753999999,1.9958305000000003,26,23,False,0.0,0,7.076073256,1.0,5,53,1.78692721089041,500.0,1.0568348120542368,1.09193373569767,1.78692721089041,500.0,1.6364795339423115,1.09193373569767,1.78692721089041,500.0,1.6364795339423115,1.2046069759310236,1.78692721089041,500.0,1.4834109768535246,1.0855658784124442,1.78692721089041,500.0,1.646079014111656,490.0,1.9082623939403087,1640.0
0xkgc,CpKtv1agjx3SyFtYGWm18rtj6WgDQCTUBEZZrpuzpump,madeitup,1788328565,False,7255.8779,1800,False,True,,Pump.fun,,1799,378,True,1,0.0,0.991515998,0.991515998,34271956.398008,0.034271956398007994,0.0,505000.0,505000.0,False,0.0,False,0.0,False,0.0,505000.0,,0.0,0.0,,0,10.304686738000001,7.876389244000002,2.428297493999999,44,44,False,0.0,0,9.31317074,0.9073530963065849,21,11.132975753000002,9.373061467,1.7599142860000025,47,46,False,0.0,0,10.141459755000001,1.0,5,74,2.393369433009671,620.0,1.392824999108893,1.2475880545910552,2.393369433009671,620.0,1.9183972018665967,1.1013991292683218,2.393369433009671,620.0,2.1730264437376365,1.1503867839086743,2.393369433009671,620.0,2.080491071774755,1.1596923463598146,2.393369433009671,620.0,2.063796868645615,627.0,2.438691750631767,1799.0
0xkgc,4SZumNgTUZRNVWHmWomCAoTtz7gQmXbP7aN8odo3pump,topbuyer,1788353339,False,7014.3448,1800,False,True,,Pump.fun,,1526,510,True,1,0.0,0.991515998,0.991515998,34271956.398008,0.034271956398007994,1.0,505000.0,505000.0,False,0.0,False,0.0,False,0.0,505000.0,,0.0,0.0,,0,9.447745329,6.384272643,3.063472686,46,46,False,0.0,0,8.456229331000001,0.7948350302227868,35,12.163355804,7.9436278929999995,4.2197279110000006,57,56,False,0.0,0,11.171839806,0.9697964628756948,16,84,2.4812021339226247,530.0,1.2354712953549856,1.36932149661229,2.4812021339226247,530.0,1.8119938524744805,1.173363824182045,2.4812021339226247,530.0,2.1146059583456793,1.173363824182045,2.4812021339226247,530.0,2.1146059583456793,1.259017020347267,2.4812021339226247,530.0,1.970745505281771,532.0,2.4820936202769053,1526.0
0xkgc,GqLLG7TtKi1o34yRwdPZB6otz8RjyY7cArB5Zqigpump,1minute,1788360463,False,6528.6817,1800,False,True,,Pump.fun,,1673,305,True,1,0.0,0.9893456000000002,0.9893456000000002,34199203.154141,0.034199203154141,2.0,28240.0,28240.0,False,0.0,False,0.0,False,0.0,514120.0,802.0,1.0,1.158529814,,0,7.064331156000001,5.607987693000001,1.4563434629999996,15,15,False,0.0,0,6.074985556000001,1.0,5,12.169378975999999,8.92224876,3.2471302159999986,25,23,False,0.0,0,11.180033376,1.0,5,31,2.1932787675002743,490.0,1.2100667105534906,1.1076568158335476,2.1932787675002743,490.0,1.9801067768898808,1.1076568158335476,2.1932787675002743,490.0,1.9801067768898808,1.100862087780049,2.1932787675002743,490.0,1.99232836869071,1.1691377127832825,2.1932787675002743,490.0,1.8759798298516028,495.0,2.2718650576183568,1673.0
0xkgc,Gwu8vQ3UVFtJ2xneD2G59Z9nEY46GTAUouCLQSRkpump,1trump,1788361884,False,24118.654,1800,False,True,,Pump.fun,,1797,1958,True,1,0.0,0.9893456000000002,0.9893456000000002,34199203.154141,0.034199203154141,1.0,26664.0,26664.0,False,0.0,False,0.0,False,0.0,400000.0,738.0,1.0,3.913328742,852.0,0,9.991798068,8.077538014,1.9142600539999997,44,44,False,0.0,0,9.002452468,0.8311521496683039,27,17.112676435999997,13.956437493,3.156238942999998,58,57,False,0.0,0,16.123330835999997,1.0,8,121,7.999793997147374,930.0,1.8383949362473935,1.1803337231727171,7.999793997147374,930.0,6.777569631446319,1.1803337231727171,7.999793997147374,930.0,6.777569631446319,1.2348638504841218,7.999793997147374,930.0,6.478280171543687,1.1786769109451443,7.999793997147374,930.0,6.787096551108809,932.0,8.427689079277384,1797.0
0xkgc,Cv7k5XTMPcPAVbfC6dAJ6CneUK2oDiM6ukQzvCzfpump,few,1788366696,False,28155.338,1800,False,True,,Pump.fun,,1775,2088,True,1,0.0,0.9893456000000002,0.9893456000000002,34199203.154141,0.034199203154141,1.0,27753.0,27753.0,False,0.0,False,0.0,False,0.0,400000.0,763.0,1.0,2.9300578440000002,,0,5.949709179,2.3767780640000002,3.572931115,16,16,False,0.0,0,4.960363579,1.0,10,10.255363953,6.166735698,4.088628255,24,22,False,0.0,0,9.266018353,1.0,8,113,7.162760280452662,760.0,1.216151429866925,1.1600660238819387,7.162760280452662,760.0,6.174441913645447,1.1600660238819387,7.162760280452662,760.0,6.174441913645447,1.1600660238819387,7.162760280452662,760.0,6.174441913645447,1.2721580023357628,7.162760280452662,760.0,5.630401465306495,762.0,7.598406135768486,1775.0
0xkgc,F94t7Ux1Q2CmCE7odGGdtjF1bFX9YVZsYEYEYiwPpump,SOLMOG,1788369204,False,12313.203,1800,False,True,,Pump.fun,,1792,1219,True,1,0.0,0.991515998,0.991515998,34271956.398008,0.034271956398007994,2.0,505000.0,505000.0,False,0.0,False,0.0,False,0.0,505000.0,,0.0,0.0,,0,11.346560103,7.122133387,4.224426716,28,24,False,0.0,0,10.355044105000001,0.9881973362837312,14,17.228265985,11.409626103,5.818639881999999,41,35,False,0.0,0,16.236749987,0.9226639882262488,15,76,4.183924916818833,570.0,1.3606357279255705,1.1375718388021603,4.183924916818833,570.0,3.6779434705630716,1.2072698070269465,4.183924916818833,570.0,3.4656088410943306,1.2623288109111108,4.183924916818833,570.0,3.314449357928385,1.3390533176304864,4.183924916818833,570.0,3.124539450171014,573.0,4.259611631825869,1792.0
