username,wallet,role,tags,n_launches_bought,n_0xkgc,n_gampsito,n_hashbergers,n_jester,n_mitch,n_hits,n_nonhits,n_hits_0xkgc,n_hits_gampsito,n_hits_hashbergers,n_hits_jester,n_hits_mitch,hit_share_of_bought,med_entry_s,min_entry_s,p75_entry_s,med_entry_mult_vs_dev,med_first_buy_sol,med_buy_sol_per_launch,total_buy_sol,n_sol_computable,med_buy_supply_share,n_sold_in_window,share_sold_in_window,n_closed_in_window,med_hold_s,med_sold_share,net_sol_realized,net_sol_marked,net_sol_closed,n_truncated_after_buy,n_sell_only,launches_bought
hashbergers,DNsh1UfJdxmze6T6GV9QK5SoFm7HsM5TRNxVuwVgo8Zj,,"sandwich_bot,axiom,padre",7,0,0,0,7,0,4,3,0,0,0,4,0,0.5714285714285714,110.0,6.0,276.5,2.4471207448433745,1.857777777,1.955555555,15.508018060000001,7,0.030167893473062,2,0.2857142857142857,1,386.0,0.0,-9.562274427,10.210519055384083,0.1270120300000004,0,0,"HITLERHAUS@6.0s,KIKI*@13.0s,PHOUSE@16.0s,NOOB@110.0s,DIRECTOR*@206.0s,CHICKY*@347.0s,SNEAKERS*@949.0s"
0xPromiser,J6YSoAhzeNLxX23KgMfNaQMYctGbatkbsPTSiJmQ3KUc,,,7,6,1,0,0,0,2,5,1,1,0,0,0,0.2857142857142857,335.0,48.0,660.5,2.9418574548996115,0.296296296,0.6799966119265873,5.230310339877051,7,0.0032896329191460004,3,0.42857142857142855,2,432.0,0.0,2.135014289906065,4.465279069880505,3.812824808906065,1,3,"ats@48.0s,SlowRogan@60.0s,Hunter*@79.0s,fries@335.0s,Biz*@552.0s,duve@769.0s,CRIME@1021.0s"
trenchdigger,BHTp82S8GYKWEwcQBuW5zme3GpcT1bkCcA7N4vyTuJL9,,launchpad_smart,4,2,1,1,0,0,3,1,1,1,1,0,0,0.75,627.0,38.0,882.0,5.847845455542565,1.4390596760141607,1.9327880710141607,7.822298327028321,4,0.0081278077521805,4,1.0,3,17.0,1.0,-1.6805972846234476,1.599664244393053,-0.06852408962344814,1,0,"PINU*@38.0s,Biz*@402.0s,1trump@852.0s,BIKESON*@972.0s"
slingoor,5YRgrP3mjGzrzirYYN5HAQH19cTYREYwGxW6XRJQUzij,Admin,"arbitrager,axiom,top_dev,top_renamed,top_followed",2,2,0,0,0,0,0,2,0,0,0,0,0,0.0,242.5,169.0,279.25,2.146964547872307,12.336543519510968,17.27481512401097,34.54963024802194,2,0.2161500631249595,2,1.0,2,13.0,1.0,28.799819195095743,28.799819195095743,28.799819195095743,0,0,"CRIME@169.0s,ats@316.0s"
stellanyang,A1ofb9tyBYWJ6ZxFedyWk9VqC88xhmvsbe2T4Gzv6tHw,,bluechip_owner,2,2,0,0,0,0,0,2,0,0,0,0,0,0.0,1001.0,894.0,1054.5,6.316342063470257,1.4798619294431306,1.4798619294431306,2.959723858886261,2,0.009087987966008999,0,0.0,0,,0.0,-2.959723858886261,-1.7430119551216419,,0,0,"CRIME@894.0s,ktw@1108.0s"
SleepyyMike,BpcENgzqyaFwzr3LKmgx7Wp7zk8XsyY31uomBa2Vs6b,,"gmgn_go,gmgn",2,2,0,0,0,0,0,2,0,0,0,0,0,0.0,1039.0,516.0,1300.5,6.068844713342164,0.36784194263984515,0.6147555221398452,1.2295110442796904,2,0.0054113981861195004,1,0.5,1,726.0,0.5,-0.7376143022796904,-0.5047836357115485,-0.4957575760000001,0,0,"ktw@516.0s,RIPASS@1562.0s"
retardmode,ASv4ktNwZ8uBbUj94ACnr7Nj1sTtcYnEUZgWxkMsakA7,,top_dev,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0,424.0,424.0,424.0,4.010770865164707,2.955693402347807,2.955693402347807,2.955693402347807,1,0.017969756001704997,1,1.0,1,12.0,1.0,0.1485472078995027,0.1485472078995027,0.1485472078995027,0,0,fries@424.0s
LowiqdegN,9cgFTNYYxuJUZcK6Je5Dx94bbjhcFmkwzuPUrx5y7sQa,,,1,0,0,1,0,0,1,0,0,0,1,0,0,1.0,1557.0,1557.0,1557.0,44.62835965211016,0.990608007,0.990608007,0.990608007,1,0.00042362956350400005,0,0.0,0,,0.0,-0.990608007,0.21838079025732926,,0,0,PINU*@1557.0s
0xkgc,BFmgjdgepMxNnEyndQZC68Db3ajPdD3V8is1bQbdj4h4,,"arbitrager,padre",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
Fabricci,CKrA2mXG2Mv4ikuyE2P3UBbd3gfhcXpuUTaadFVEcf1p,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
MidCurveMortal,5CPYGy2F3hdBE5b2JXnXwbHmxL3rnGX1Lxp6K72zpKc7,Admin,"gmgn,gmgn_go",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
TMH,A38dM3RtNpewkwkWJeyj8C9c8yWtgaaAdh4Rdj1SXg3M,,"arbitrager,padre",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
agentpuffle,BEQGnzXPeaLsbk8Vc7Eo3a9rHUr1si53aQU6F8MXvcDZ,Admin,axiom,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
alpha_co,3bAQgA7SZvKGdbcnooa98ynCVN7x6UuDhNiR2SWAYjdy,,arbitrager,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
b69,3iNpHZrcE45FPR8pKhz7g4KXEZNHoiic7eG9bRwrBJ8b,,trojan,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,0,,0,,,,,,0,0,
