dev,mark,column,hits_n,hits_med,hits_p25,hits_p75,miss_n,miss_med,miss_p25,miss_p75
0xkgc,1m,dev_supply_share,7,0.066401601740007,0.0503367790690075,0.0807827181781925,40,0.034271956398007994,0.034271956398007994,0.0572316958087405
0xkgc,1m,dev_first_buy_sol,7,1.980528808,1.486022403,2.885953927919317,40,0.991515998,0.991515998,1.8227179202500001
0xkgc,1m,dev_same_slot_buyers,7,2.0,0.5,2.0,40,2.0,1.0,4.0
0xkgc,1m,dev_fee_first_tx,7,505000.0,35000.0,505000.0,40,505000.0,180479.0,505000.0
0xkgc,1m,dev_fee_med_60s,7,505000.0,35000.0,505000.0,40,505000.0,352302.75,505000.0
0xkgc,1m,dev_fee_lamports_med,7,400000.0,27714.5,452500.0,40,452500.0,400000.0,505000.0
0xkgc,1m,dev_sold_share_60s,7,0.0,0.0,0.0,40,0.0,0.0,0.0
0xkgc,1m,sol_in_1m,7,22.09736371253417,19.6482344563847,24.552902254296736,40,15.470644399231116,9.56077500825,25.466167554789802
0xkgc,1m,sol_out_1m,7,8.796383362632827,7.122396679451992,15.412786506,40,10.2355275155,5.0927450512500005,16.837267477250002
0xkgc,1m,net_sol_1m,7,12.229502408820501,9.0164680205,14.569489092480328,40,6.439038387692094,3.8128841509281286,14.569311716999996
0xkgc,1m,n_buys_1m,7,42.0,40.0,53.5,40,42.5,25.75,63.5
0xkgc,1m,n_wallets_1m,7,38.0,35.5,51.5,40,40.0,23.0,60.0
0xkgc,1m,member_buy_sol_1m,7,0.0,0.0,0.0,40,0.0,0.0,0.0
0xkgc,1m,outside_buy_sol_1m,7,19.203187889277732,17.7136866215936,21.37828198786737,40,14.115689216,8.56925901025,23.88583516121028
0xkgc,1m,top10_share_1m,7,0.8570355491248175,0.7789260786484598,0.9131901088822194,40,0.9095048702041701,0.7507461756941475,0.9754064550338355
0xkgc,1m,n_net_long_1m,7,26.0,22.5,30.5,40,22.5,15.75,40.5
0xkgc,1m,mult_30s,7,1.6548950890300236,1.4613661064635197,1.9244410714226734,40,1.3138429892764338,1.187770552666897,1.7994914269108961
0xkgc,1m,mult_60s,7,1.7401929875694389,1.5507249354225356,1.9659102002752413,40,1.3177651635013583,1.2005357860633892,1.9021589888440005
0xkgc,1m,dev_sold_by_60s (share true),7,0.0,,,40,0.025,,
0xkgc,1m,member_buy_by_1m (share true),7,0.0,,,40,0.05,,
0xkgc,5m,dev_sold_share_120s,7,0.0,0.0,0.0,40,0.0,0.0,0.0
0xkgc,5m,dev_sold_share_300s,7,0.0,0.0,0.0,40,0.0,0.0,0.0
0xkgc,5m,sol_in_5m,7,58.961061887672486,35.926461291931574,86.77865922487774,40,24.472380903050748,14.11721986525,57.465396154000004
0xkgc,5m,sol_out_5m,7,26.09231897082437,19.23547715074116,58.029233807917755,40,15.952800650257828,9.883563881489618,37.971112567249996
0xkgc,5m,net_sol_5m,7,27.44295016338082,12.251896898500007,35.90140903638404,40,6.6865937925,4.186952997000001,19.2614715106763
0xkgc,5m,n_buys_5m,7,117.0,77.0,293.0,40,58.5,50.0,174.5
0xkgc,5m,n_wallets_5m,7,101.0,67.5,173.5,40,56.0,44.75,146.5
0xkgc,5m,member_buy_sol_5m,7,0.0,0.0,0.0,40,0.0,0.0,0.0
0xkgc,5m,member_buyers_5m,7,0.0,0.0,0.0,40,0.0,0.0,0.0
0xkgc,5m,outside_buy_sol_5m,7,56.06688606441605,33.246423611002214,84.34459053358665,40,22.528024584396682,13.125703867250001,55.45420146225
0xkgc,5m,top10_share_5m,7,0.6295498266274978,0.4766948254688902,0.8269072259626717,40,0.9627094305270469,0.6370201315087797,1.0
0xkgc,5m,n_net_long_5m,7,60.0,29.0,116.0,40,16.5,8.0,64.75
0xkgc,5m,mult_120s,7,1.941744117244834,1.707367072598648,2.3256375398072295,40,1.4079363050945315,1.2272996318458473,1.8659001557733055
0xkgc,5m,mult_300s,7,2.6617232709348975,1.9492614632264345,4.159588312755217,40,1.4670573942359446,1.2705989532262583,2.230133994133041
0xkgc,5m,dev_sold_by_120s (share true),7,0.0,,,40,0.025,,
0xkgc,5m,dev_sold_by_300s (share true),7,0.0,,,40,0.1,,
0xkgc,5m,member_buy_by_5m (share true),7,0.14285714285714285,,,40,0.075,,
gampsito,1m,dev_supply_share,6,0.15166077733404498,0.15166077733404498,0.1706574623387225,10,0.176989690673615,0.15166077733404498,0.176989690673615
gampsito,1m,dev_first_buy_sol,6,4.940213444,4.940213444,5.68095418475,10,5.9277802985,4.940213444,5.927867765
gampsito,1m,dev_same_slot_buyers,6,7.0,6.25,7.75,10,5.5,3.25,11.0
gampsito,1m,dev_fee_first_tx,6,5000.0,5000.0,5000.0,10,5000.0,5000.0,5000.0
gampsito,1m,dev_fee_med_60s,6,75687.5,51640.5,774775.0,10,55087.25,47147.75,72690.25
gampsito,1m,dev_fee_lamports_med,6,90480.5,59671.5,774775.0,10,55087.25,47147.75,69049.75
gampsito,1m,dev_sold_share_60s,6,1.0,1.0,1.0,10,0.9999999999999999,0.9999999999999998,1.0
gampsito,1m,sol_in_1m,6,109.50988504899999,49.634531248,122.487271693,10,70.44848122,37.93119292625,114.89763581100001
gampsito,1m,sol_out_1m,6,88.11114856649999,44.0712564135,90.74545613475,10,64.6454613155,36.96383216875,100.58164256327149
gampsito,1m,net_sol_1m,6,17.572108705000012,5.563274834500001,25.971744627250004,10,3.201162698500017,1.4639727760000074,13.202234719750003
gampsito,1m,n_buys_1m,6,181.5,63.5,235.0,10,130.5,66.0,203.75
gampsito,1m,n_wallets_1m,6,154.0,57.0,170.75,10,109.5,58.25,172.5
gampsito,1m,member_buy_sol_1m,6,0.0,0.0,0.0,10,0.0,0.0,0.0
gampsito,1m,outside_buy_sol_1m,6,104.569671605,43.45974990275,117.30014466875001,10,64.520613455,32.99097948225,108.969768046
gampsito,1m,top10_share_1m,6,0.5708770431081835,0.43880108675939733,0.9046518559494178,10,0.9297039817844737,0.6553647379975307,1.0
gampsito,1m,n_net_long_1m,6,58.0,20.5,68.5,10,21.5,6.25,40.0
gampsito,1m,mult_30s,6,2.8119219106374365,1.300879700864784,3.5942279707607305,10,1.2999703573117607,1.031967461454541,1.93689201753216
gampsito,1m,mult_60s,6,2.224227232096619,1.2341021262201695,2.8684257173720313,10,1.0332924243372903,0.9493586620021656,1.7191263492911746
gampsito,1m,dev_sold_by_60s (share true),6,1.0,,,10,1.0,,
gampsito,1m,member_buy_by_1m (share true),6,0.0,,,10,0.0,,
gampsito,5m,dev_sold_share_120s,6,1.0,1.0,1.0,10,0.9999999999999999,0.9999999999999998,1.0
gampsito,5m,dev_sold_share_300s,6,1.0,1.0,1.0,10,0.9999999999999999,0.9999999999999998,1.0
gampsito,5m,sol_in_5m,6,181.607410723,68.789982098,224.23549627124999,10,75.7298417395,37.958081814749995,124.86001402625
gampsito,5m,sol_out_5m,6,153.78787599449998,61.50475730149999,189.462281662,10,73.80669223499999,37.811870889750004,117.21578948375
gampsito,5m,net_sol_5m,6,27.819534728500003,6.694743781249998,35.430984036000005,10,0.6343500475000106,0.18732057599999674,9.84870270150001
gampsito,5m,n_buys_5m,6,367.5,104.0,528.25,10,160.0,66.5,273.25
gampsito,5m,n_wallets_5m,6,240.0,75.75,313.5,10,121.5,58.75,209.0
gampsito,5m,member_buy_sol_5m,6,0.0,0.0,0.0,10,0.0,0.0,0.0
gampsito,5m,member_buyers_5m,6,0.0,0.0,0.0,10,0.0,0.0,0.0
gampsito,5m,outside_buy_sol_5m,6,176.667197279,62.12137359225001,219.5421964075,10,69.8019739745,33.017868370749994,118.9248129285
gampsito,5m,top10_share_5m,5,0.46984265625457367,0.36240391965655633,0.4730678235132842,9,0.99911332156832,0.7252380454894212,1.0
gampsito,5m,n_net_long_5m,6,73.5,20.0,116.5,10,7.0,1.25,30.25
gampsito,5m,mult_120s,6,3.0433991220418712,1.3713372409769784,4.3242642188131795,10,0.9575376692653517,0.9043221710951452,1.783921210804323
gampsito,5m,mult_300s,6,2.8780591694033815,1.3981644181058512,3.9353667544858437,10,0.9575376692653517,0.9019978268331876,1.4050408349985468
gampsito,5m,dev_sold_by_120s (share true),6,1.0,,,10,1.0,,
gampsito,5m,dev_sold_by_300s (share true),6,1.0,,,10,1.0,,
gampsito,5m,member_buy_by_5m (share true),6,0.0,,,10,0.0,,
hashbergers,1m,dev_supply_share,2,0.2505574510749835,0.12563174410071876,0.37548315804924826,10,0.034199203154141,0.034199203154141,0.034199203154141
hashbergers,1m,dev_first_buy_sol,2,13.1207556025,6.571225263750001,19.67028594125,10,0.9891228799999999,0.9891228799999999,0.9891228799999999
hashbergers,1m,dev_same_slot_buyers,2,5.5,2.75,8.25,10,1.0,0.0,2.5
