dev,mark,rule,hits_pass,hits_n,miss_pass,miss_n,precision,recall
0xkgc,1m,dev share >= 0.35,0,7,0,40,,0.0
0xkgc,1m,dev share >= 0.50,0,7,0,40,,0.0
0xkgc,1m,no dev sell by 60 s,7,7,39,40,0.15217391304347827,1.0
0xkgc,1m,dev share >= 0.35 and no dev sell by 60 s,0,7,0,40,,0.0
0xkgc,1m,dev share >= 0.35 and no dev sell by 60 s and same-slot buyers >= 2,0,7,0,40,,0.0
0xkgc,1m,dev share >= 0.35 and no dev sell by 60 s and sol_in_1m >= 50,0,7,0,40,,0.0
0xkgc,1m,no dev sell by 60 s and sol_in_1m >= 100,0,7,0,40,,0.0
0xkgc,1m,no dev sell by 60 s and n_wallets_1m >= 100,0,7,7,40,0.0,0.0
0xkgc,1m,dev share >= 0.35 and mult_60s >= 2,0,7,0,40,,0.0
0xkgc,5m,dev share >= 0.35 and no dev sell by 120 s,0,7,0,40,,0.0
0xkgc,5m,dev share >= 0.35 and no dev sell by 300 s,0,7,0,40,,0.0
0xkgc,5m,no dev sell by 300 s,7,7,36,40,0.16279069767441862,1.0
0xkgc,5m,no dev sell by 300 s and sol_in_5m >= 100,2,7,5,40,0.2857142857142857,0.2857142857142857
0xkgc,5m,no dev sell by 300 s and n_wallets_5m >= 200,2,7,5,40,0.2857142857142857,0.2857142857142857
0xkgc,5m,dev share >= 0.35 and no dev sell by 300 s and member buy by 300 s,0,7,0,40,,0.0
0xkgc,5m,member buy by 300 s,1,7,3,40,0.25,0.14285714285714285
0xkgc,5m,dev share >= 0.35 and no dev sell by 300 s and mult_300s >= 3,0,7,0,40,,0.0
gampsito,1m,dev share >= 0.35,0,6,0,10,,0.0
gampsito,1m,dev share >= 0.50,0,6,0,10,,0.0
gampsito,1m,no dev sell by 60 s,0,6,0,10,,0.0
gampsito,1m,dev share >= 0.35 and no dev sell by 60 s,0,6,0,10,,0.0
gampsito,1m,dev share >= 0.35 and no dev sell by 60 s and same-slot buyers >= 2,0,6,0,10,,0.0
gampsito,1m,dev share >= 0.35 and no dev sell by 60 s and sol_in_1m >= 50,0,6,0,10,,0.0
gampsito,1m,no dev sell by 60 s and sol_in_1m >= 100,0,6,0,10,,0.0
gampsito,1m,no dev sell by 60 s and n_wallets_1m >= 100,0,6,0,10,,0.0
gampsito,1m,dev share >= 0.35 and mult_60s >= 2,0,6,0,10,,0.0
gampsito,5m,dev share >= 0.35 and no dev sell by 120 s,0,6,0,10,,0.0
gampsito,5m,dev share >= 0.35 and no dev sell by 300 s,0,6,0,10,,0.0
gampsito,5m,no dev sell by 300 s,0,6,0,10,,0.0
gampsito,5m,no dev sell by 300 s and sol_in_5m >= 100,0,6,0,10,,0.0
gampsito,5m,no dev sell by 300 s and n_wallets_5m >= 200,0,6,0,10,,0.0
gampsito,5m,dev share >= 0.35 and no dev sell by 300 s and member buy by 300 s,0,6,0,10,,0.0
gampsito,5m,member buy by 300 s,0,6,0,10,,0.0
gampsito,5m,dev share >= 0.35 and no dev sell by 300 s and mult_300s >= 3,0,6,0,10,,0.0
hashbergers,1m,dev share >= 0.35,1,2,0,10,1.0,0.5
hashbergers,1m,dev share >= 0.50,1,2,0,10,1.0,0.5
hashbergers,1m,no dev sell by 60 s,2,2,0,10,1.0,1.0
hashbergers,1m,dev share >= 0.35 and no dev sell by 60 s,1,2,0,10,1.0,0.5
hashbergers,1m,dev share >= 0.35 and no dev sell by 60 s and same-slot buyers >= 2,1,2,0,10,1.0,0.5
hashbergers,1m,dev share >= 0.35 and no dev sell by 60 s and sol_in_1m >= 50,1,2,0,10,1.0,0.5
hashbergers,1m,no dev sell by 60 s and sol_in_1m >= 100,1,2,0,10,1.0,0.5
hashbergers,1m,no dev sell by 60 s and n_wallets_1m >= 100,1,2,0,10,1.0,0.5
hashbergers,1m,dev share >= 0.35 and mult_60s >= 2,1,2,0,10,1.0,0.5
hashbergers,5m,dev share >= 0.35 and no dev sell by 120 s,1,2,0,10,1.0,0.5
hashbergers,5m,dev share >= 0.35 and no dev sell by 300 s,1,2,0,10,1.0,0.5
hashbergers,5m,no dev sell by 300 s,2,2,0,10,1.0,1.0
hashbergers,5m,no dev sell by 300 s and sol_in_5m >= 100,1,2,0,10,1.0,0.5
hashbergers,5m,no dev sell by 300 s and n_wallets_5m >= 200,1,2,0,10,1.0,0.5
hashbergers,5m,dev share >= 0.35 and no dev sell by 300 s and member buy by 300 s,1,2,0,10,1.0,0.5
hashbergers,5m,member buy by 300 s,1,2,0,10,1.0,0.5
hashbergers,5m,dev share >= 0.35 and no dev sell by 300 s and mult_300s >= 3,1,2,0,10,1.0,0.5
jester,1m,dev share >= 0.35,1,7,2,20,0.3333333333333333,0.14285714285714285
jester,1m,dev share >= 0.50,1,7,2,20,0.3333333333333333,0.14285714285714285
jester,1m,no dev sell by 60 s,3,7,6,20,0.3333333333333333,0.42857142857142855
jester,1m,dev share >= 0.35 and no dev sell by 60 s,1,7,2,20,0.3333333333333333,0.14285714285714285
jester,1m,dev share >= 0.35 and no dev sell by 60 s and same-slot buyers >= 2,0,7,1,20,0.0,0.0
jester,1m,dev share >= 0.35 and no dev sell by 60 s and sol_in_1m >= 50,1,7,2,20,0.3333333333333333,0.14285714285714285
jester,1m,no dev sell by 60 s and sol_in_1m >= 100,1,7,1,20,0.5,0.14285714285714285
jester,1m,no dev sell by 60 s and n_wallets_1m >= 100,0,7,0,20,,0.0
jester,1m,dev share >= 0.35 and mult_60s >= 2,1,7,2,20,0.3333333333333333,0.14285714285714285
jester,5m,dev share >= 0.35 and no dev sell by 120 s,1,7,2,20,0.3333333333333333,0.14285714285714285
jester,5m,dev share >= 0.35 and no dev sell by 300 s,1,7,2,20,0.3333333333333333,0.14285714285714285
jester,5m,no dev sell by 300 s,2,7,5,20,0.2857142857142857,0.2857142857142857
jester,5m,no dev sell by 300 s and sol_in_5m >= 100,1,7,1,20,0.5,0.14285714285714285
jester,5m,no dev sell by 300 s and n_wallets_5m >= 200,0,7,0,20,,0.0
jester,5m,dev share >= 0.35 and no dev sell by 300 s and member buy by 300 s,0,7,0,20,,0.0
jester,5m,member buy by 300 s,2,7,3,20,0.4,0.2857142857142857
jester,5m,dev share >= 0.35 and no dev sell by 300 s and mult_300s >= 3,1,7,1,20,0.5,0.14285714285714285
mitch,1m,dev share >= 0.35,1,1,3,4,0.25,1.0
mitch,1m,dev share >= 0.50,1,1,2,4,0.3333333333333333,1.0
mitch,1m,no dev sell by 60 s,1,1,4,4,0.2,1.0
mitch,1m,dev share >= 0.35 and no dev sell by 60 s,1,1,3,4,0.25,1.0
mitch,1m,dev share >= 0.35 and no dev sell by 60 s and same-slot buyers >= 2,0,1,0,4,,0.0
mitch,1m,dev share >= 0.35 and no dev sell by 60 s and sol_in_1m >= 50,1,1,2,4,0.3333333333333333,1.0
mitch,1m,no dev sell by 60 s and sol_in_1m >= 100,1,1,0,4,1.0,1.0
mitch,1m,no dev sell by 60 s and n_wallets_1m >= 100,0,1,0,4,,0.0
mitch,1m,dev share >= 0.35 and mult_60s >= 2,0,1,3,4,0.0,0.0
mitch,5m,dev share >= 0.35 and no dev sell by 120 s,1,1,3,4,0.25,1.0
mitch,5m,dev share >= 0.35 and no dev sell by 300 s,1,1,3,4,0.25,1.0
mitch,5m,no dev sell by 300 s,1,1,4,4,0.2,1.0
mitch,5m,no dev sell by 300 s and sol_in_5m >= 100,1,1,0,4,1.0,1.0
mitch,5m,no dev sell by 300 s and n_wallets_5m >= 200,0,1,0,4,,0.0
mitch,5m,dev share >= 0.35 and no dev sell by 300 s and member buy by 300 s,0,1,0,4,,0.0
mitch,5m,member buy by 300 s,0,1,0,4,,0.0
mitch,5m,dev share >= 0.35 and no dev sell by 300 s and mult_300s >= 3,0,1,3,4,0.0,0.0
